iter	Passed	Remaining
0	9	9389
1	15	7898
2	22	7435
3	28	7121
4	35	7082
5	42	6959
6	48	6875
7	55	6855
8	62	6830
9	68	6765
10	74	6682
11	80	6591
12	86	6588
13	93	6589
14	99	6556
15	106	6545
16	112	6520
17	119	6503
18	125	6503
19	132	6496
20	139	6504
21	146	6499
22	153	6502
23	159	6490
24	165	6446
25	171	6415
26	177	6394
27	182	6352
28	189	6347
29	196	6347
30	202	6337
31	209	6329
32	215	6326
33	222	6329
34	229	6328
35	236	6330
36	243	6340
37	250	6343
38	256	6331
39	263	6316
40	269	6308
41	274	6272
42	281	6259
43	287	6249
44	293	6235
45	300	6227
46	307	6225
47	313	6223
48	319	6210
49	327	6214
50	334	6230
51	343	6265
52	351	6287
53	358	6273
54	364	6261
55	370	6252
56	377	6240
57	383	6221
58	389	6205
59	395	6189
60	401	6176
61	407	6159
62	413	6146
63	419	6129
64	424	6112
65	431	6100
66	436	6082
67	442	6067
68	449	6063
69	455	6051
70	461	6038
71	467	6027
72	473	6016
73	480	6008
74	486	5997
75	492	5989
76	498	5979
77	504	5962
78	510	5952
79	516	5944
80	523	5934
81	529	5924
82	534	5907
83	542	5916
84	548	5909
85	554	5897
86	561	5888
87	567	5878
88	572	5862
89	578	5850
90	584	5834
91	589	5818
92	595	5805
93	600	5790
94	606	5778
95	612	5766
96	617	5751
97	623	5736
98	629	5726
99	634	5711
100	640	5698
101	646	5692
102	652	5683
103	658	5675
104	664	5664
105	670	5652
106	676	5645
107	681	5632
108	687	5616
109	693	5610
110	698	5598
111	704	5586
112	709	5572
113	715	5560
114	721	5551
115	726	5538
116	732	5525
117	738	5519
118	744	5509
119	749	5497
120	755	5488
121	760	5475
122	766	5468
123	773	5462
124	778	5452
125	784	5445
126	790	5435
127	796	5426
128	802	5418
129	808	5409
130	814	5399
131	819	5388
132	825	5378
133	830	5368
134	836	5361
135	842	5354
136	848	5345
137	854	5338
138	860	5330
139	866	5322
140	872	5314
141	877	5304
142	884	5298
143	890	5291
144	895	5281
145	901	5274
146	907	5266
147	913	5256
148	919	5249
149	924	5240
150	930	5231
151	936	5225
152	942	5216
153	948	5208
154	954	5202
155	960	5194
156	966	5188
157	971	5179
158	977	5170
159	983	5163
160	989	5154
161	996	5156
162	1002	5148
163	1008	5140
164	1014	5134
165	1020	5127
166	1026	5121
167	1033	5118
168	1040	5114
169	1051	5135
170	1061	5147
171	1071	5159
172	1083	5180
173	1092	5184
174	1098	5180
175	1105	5174
176	1112	5173
177	1119	5167
178	1125	5161
179	1131	5154
180	1138	5150
181	1144	5145
182	1150	5138
183	1165	5167
184	1171	5162
185	1179	5160
186	1185	5155
187	1192	5152
188	1199	5145
189	1205	5139
190	1211	5132
191	1217	5123
192	1223	5115
193	1229	5108
194	1235	5099
195	1241	5091
196	1247	5082
197	1252	5073
198	1258	5066
199	1264	5057
200	1270	5051
201	1277	5045
202	1284	5041
203	1290	5034
204	1298	5036
205	1307	5037
206	1314	5037
207	1322	5035
208	1331	5039
209	1339	5040
210	1347	5039
211	1354	5036
212	1361	5029
213	1367	5023
214	1373	5016
215	1379	5008
216	1386	5002
217	1392	4996
218	1399	4990
219	1406	4986
220	1413	4980
221	1420	4976
222	1427	4973
223	1435	4972
224	1441	4965
225	1448	4959
226	1454	4953
227	1460	4945
228	1466	4938
229	1473	4934
230	1480	4927
231	1486	4921
232	1492	4914
233	1498	4906
234	1504	4898
235	1510	4889
236	1516	4882
237	1522	4874
238	1528	4867
239	1534	4860
240	1540	4852
241	1546	4845
242	1552	4837
243	1559	4831
244	1565	4825
245	1571	4817
246	1577	4810
247	1584	4804
248	1590	4796
249	1596	4788
250	1601	4780
251	1607	4772
252	1614	4766
253	1620	4758
254	1625	4750
255	1631	4742
256	1637	4734
257	1643	4726
258	1649	4718
259	1654	4709
260	1660	4701
261	1666	4693
262	1672	4685
263	1678	4678
264	1684	4670
265	1689	4662
266	1695	4654
267	1701	4646
268	1706	4638
269	1713	4632
270	1719	4626
271	1726	4619
272	1732	4612
273	1738	4605
274	1744	4600
275	1750	4592
276	1757	4586
277	1763	4580
278	1769	4572
279	1775	4565
280	1781	4558
281	1787	4550
282	1793	4543
283	1799	4537
284	1805	4529
285	1811	4523
286	1817	4515
287	1823	4507
288	1829	4500
289	1834	4491
290	1840	4484
291	1846	4477
292	1852	4469
293	1858	4461
294	1863	4453
295	1869	4445
296	1875	4438
297	1881	4432
298	1887	4424
299	1893	4418
300	1899	4411
301	1905	4404
302	1912	4399
303	1918	4392
304	1924	4386
305	1930	4379
306	1937	4372
307	1943	4366
308	1949	4359
309	1956	4353
310	1961	4345
311	1966	4337
312	1972	4329
313	1978	4321
314	1984	4314
315	1990	4307
316	1995	4299
317	2000	4291
318	2006	4283
319	2012	4275
320	2017	4267
321	2023	4259
322	2029	4253
323	2034	4245
324	2041	4239
325	2047	4233
326	2053	4226
327	2059	4219
328	2064	4211
329	2071	4205
330	2076	4197
331	2082	4189
332	2088	4182
333	2093	4175
334	2099	4166
335	2104	4159
336	2110	4151
337	2115	4143
338	2121	4136
339	2127	4129
340	2132	4121
341	2138	4114
342	2144	4106
343	2149	4099
344	2155	4092
345	2161	4086
346	2167	4079
347	2172	4071
348	2178	4064
349	2184	4056
350	2189	4048
351	2195	4041
352	2200	4033
353	2206	4025
354	2211	4018
355	2217	4010
356	2222	4003
357	2228	3995
358	2233	3988
359	2239	3981
360	2245	3973
361	2250	3966
362	2256	3959
363	2261	3951
364	2267	3944
365	2272	3936
366	2278	3929
367	2284	3922
368	2289	3914
369	2295	3908
370	2300	3901
371	2306	3892
372	2311	3885
373	2316	3877
374	2321	3869
375	2327	3862
376	2333	3856
377	2339	3849
378	2344	3841
379	2350	3834
380	2355	3826
381	2360	3819
382	2366	3812
383	2371	3805
384	2377	3798
385	2383	3791
386	2388	3783
387	2394	3776
388	2399	3769
389	2405	3762
390	2410	3755
391	2416	3747
392	2421	3740
393	2427	3734
394	2433	3727
395	2438	3720
396	2444	3713
397	2450	3706
398	2455	3698
399	2461	3691
400	2466	3684
401	2471	3677
402	2477	3670
403	2483	3663
404	2488	3656
405	2494	3649
406	2499	3642
407	2505	3635
408	2511	3628
409	2516	3621
410	2522	3614
411	2528	3608
412	2533	3600
413	2538	3593
414	2544	3586
415	2550	3580
416	2555	3572
417	2561	3566
418	2567	3559
419	2572	3552
420	2578	3545
421	2583	3538
422	2588	3531
423	2594	3524
424	2599	3516
425	2605	3510
426	2611	3503
427	2616	3496
428	2622	3490
429	2627	3483
430	2633	3476
431	2639	3470
432	2645	3464
433	2651	3458
434	2657	3451
435	2663	3444
436	2668	3438
437	2674	3432
438	2680	3424
439	2685	3418
440	2691	3411
441	2696	3404
442	2702	3397
443	2707	3390
444	2713	3383
445	2718	3376
446	2723	3369
447	2729	3363
448	2735	3356
449	2740	3349
450	2745	3342
451	2751	3335
452	2757	3329
453	2762	3322
454	2768	3316
455	2774	3309
456	2779	3302
457	2786	3297
458	2792	3291
459	2798	3285
460	2803	3278
461	2809	3271
462	2814	3264
463	2820	3257
464	2825	3251
465	2831	3244
466	2836	3237
467	2842	3230
468	2847	3224
469	2853	3217
470	2859	3211
471	2865	3205
472	2870	3198
473	2876	3191
474	2881	3184
475	2887	3178
476	2892	3171
477	2898	3164
478	2904	3158
479	2909	3152
480	2914	3145
481	2920	3138
482	2925	3131
483	2931	3125
484	2937	3119
485	2943	3112
486	2948	3106
487	2954	3099
488	2960	3093
489	2965	3086
490	2971	3080
491	2977	3074
492	2982	3067
493	2987	3060
494	2994	3055
495	3000	3048
496	3006	3043
497	3012	3036
498	3017	3029
499	3023	3023
500	3028	3016
501	3034	3010
502	3039	3003
503	3045	2996
504	3050	2990
505	3056	2984
506	3062	2977
507	3067	2971
508	3073	2964
509	3078	2957
510	3083	2951
511	3089	2944
512	3095	2938
513	3100	2931
514	3105	2925
515	3111	2918
516	3116	2911
517	3122	2905
518	3127	2898
519	3133	2892
520	3138	2885
521	3144	2879
522	3149	2872
523	3155	2866
524	3161	2860
525	3166	2853
526	3172	2847
527	3177	2840
528	3183	2834
529	3188	2827
530	3193	2820
531	3199	2814
532	3205	2808
533	3210	2801
534	3216	2795
535	3221	2788
536	3227	2782
537	3233	2776
538	3238	2769
539	3243	2763
540	3249	2757
541	3255	2751
542	3261	2744
543	3267	2739
544	3273	2732
545	3279	2726
546	3284	2720
547	3289	2713
548	3295	2707
549	3300	2700
550	3305	2693
551	3311	2687
552	3316	2681
553	3322	2674
554	3328	2668
555	3333	2661
556	3338	2655
557	3344	2649
558	3349	2642
559	3354	2636
560	3360	2629
561	3366	2623
562	3372	2617
563	3378	2611
564	3383	2605
565	3389	2598
566	3394	2592
567	3400	2586
568	3405	2579
569	3411	2573
570	3416	2566
571	3421	2560
572	3427	2554
573	3432	2547
574	3438	2541
575	3443	2535
576	3449	2528
577	3454	2522
578	3460	2516
579	3465	2509
580	3470	2503
581	3476	2497
582	3482	2490
583	3488	2484
584	3493	2478
585	3499	2472
586	3505	2466
587	3510	2460
588	3516	2453
589	3521	2447
590	3527	2440
591	3532	2434
592	3537	2427
593	3543	2421
594	3548	2415
595	3554	2409
596	3559	2402
597	3564	2396
598	3570	2390
599	3576	2384
600	3582	2378
601	3587	2372
602	3593	2365
603	3598	2359
604	3604	2353
605	3609	2347
606	3615	2340
607	3621	2334
608	3627	2328
609	3632	2322
610	3638	2316
611	3644	2310
612	3649	2304
613	3655	2297
614	3660	2291
615	3665	2285
616	3671	2279
617	3676	2272
618	3682	2266
619	3688	2260
620	3694	2254
621	3699	2248
622	3705	2242
623	3710	2235
624	3716	2229
625	3722	2223
626	3727	2217
