iter	Passed	Remaining
0	7	7975
1	14	7453
2	21	7107
3	27	6832
4	33	6632
5	39	6531
6	45	6496
7	51	6407
8	57	6328
9	63	6323
10	69	6292
11	76	6261
12	82	6272
13	88	6226
14	94	6212
15	100	6195
16	106	6184
17	113	6182
18	119	6157
19	125	6155
20	131	6134
21	137	6115
22	143	6105
23	149	6084
24	155	6069
25	163	6109
26	168	6080
27	175	6093
28	181	6066
29	187	6071
30	193	6058
31	199	6049
32	206	6038
33	212	6038
34	219	6056
35	226	6060
36	232	6058
37	240	6089
38	246	6077
39	252	6066
40	258	6053
41	265	6048
42	271	6047
43	277	6028
44	283	6012
45	289	5999
46	296	6003
47	302	6006
48	310	6022
49	316	6018
50	323	6021
51	330	6032
52	337	6037
53	344	6027
54	349	6009
55	356	6006
56	361	5987
57	368	5977
58	374	5967
59	379	5952
60	386	5948
61	392	5935
62	398	5925
63	404	5917
64	410	5910
65	416	5897
66	422	5886
67	429	5883
68	435	5877
69	441	5865
70	447	5860
71	454	5855
72	460	5848
73	467	5844
74	473	5845
75	479	5835
76	486	5833
77	493	5834
78	499	5827
79	506	5822
80	512	5811
81	518	5808
82	525	5800
83	531	5791
84	538	5791
85	543	5777
86	550	5774
87	556	5770
88	563	5768
89	569	5759
90	575	5747
91	581	5740
92	587	5733
93	594	5725
94	600	5722
95	606	5712
96	613	5709
97	619	5700
98	625	5692
99	631	5686
100	637	5676
101	644	5670
102	650	5663
103	656	5656
104	662	5650
105	668	5641
106	674	5633
107	681	5624
108	687	5617
109	693	5610
110	699	5605
111	705	5595
112	712	5588
113	717	5579
114	724	5572
115	730	5568
116	736	5559
117	742	5553
118	749	5546
119	755	5539
120	761	5533
121	767	5524
122	773	5517
123	780	5512
124	786	5504
125	792	5500
126	799	5493
127	805	5486
128	811	5480
129	817	5472
130	824	5466
131	830	5459
132	836	5452
133	842	5445
134	848	5435
135	854	5430
136	860	5421
137	866	5412
138	872	5405
139	878	5397
140	884	5390
141	891	5385
142	897	5378
143	904	5376
144	911	5371
145	916	5363
146	923	5356
147	928	5347
148	935	5340
149	940	5332
150	946	5323
151	953	5317
152	959	5310
153	965	5301
154	971	5294
155	977	5286
156	983	5278
157	990	5276
158	996	5270
159	1003	5265
160	1009	5262
161	1016	5256
162	1022	5250
163	1028	5240
164	1034	5235
165	1040	5228
166	1046	5220
167	1052	5214
168	1058	5206
169	1064	5199
170	1070	5191
171	1076	5182
172	1082	5175
173	1088	5168
174	1094	5160
175	1100	5154
