,가중치,벤처확인 유형,회사주소_시(도),회사주소_구(군),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,대표이사_창업자여부,대표이사_이전근무지,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 당시 창업자 전공,창업 직전 근무지,창업방식,단독창업 여부,창업자 역할,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_가족,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_개인투자자,연구개발(RnD)자금(출연금)_경험여부,융자(정책자금)_경험여부,보증서지원_경험여부,기타지원_경험여부,경쟁사 대비 현황_개발역량,경쟁사 대비 현황_제조역량,경쟁사 대비 현황_마케팅역량,경쟁전략초점_원가우위 수준,경쟁전략초점_제품 고부가가치화 수준,비즈니스 모델_명확한 정리정도,비즈니스 모델_혁신정도,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),크라우드 펀딩 경험여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병의향,인수합병응할의향,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_우수인력 확보에 유리,벤처확인제도 혜택_입지 선정 시 유리,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_창업 관련 규제 완화 효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,현재 벤처인프라 수준_벤처투자 활성화,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,매출규모,정규직합계,비정규직합계,총종사자합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),인수합병(MnA) 경험여부,피인수합병 경험여부,인력구성(합계),학력별 인력구성_합계,매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액(국내설비),투자액(R&D),투자액(해외),투자액(기타),투자액(합계),스톡옵션상황,등록보유(특허권),등록보유(실용신안권),등록보유(디자인권),등록보유(상표권),등록보유(해외산업재산권),등록보유(합계),출원중(특허권),출원중(실용신안권),출원중(디자인권),출원중(상표권),출원중(해외산업재산권),출원중(합계),제품및서비스구조,세계유일기술보유여부,기술력수준비교(세계),기술력수준비교(국내),연구개발관련전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,글로벌사업방식,향후사회적책임실천할계획여부,실천하고있는사회적책임,부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,4차산업혁명과관계여부
0,10.42,3,경기,군포시,A01110,2009,2,4,4.0,1.0,6.0,1,2,3,1.0,6,3,1.0,3,1.0,4.0,2,0.0,13.333333333333334,46.666666666666664,33.33333333333333,6.666666666666667,5.0,3.0,2.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,2,2,2,2,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,14.0,3,3,2,3,3,2,3,2,3,3,2,3,3,3,3,2,1,3,3,2,1,2,3,2,1,2,2,2,1.0,18.0,0.0,18.0,5.0,0.0,2.0,6.0,2.0,2.0,2.0,15.0,15.0,0.0,0.0,10.0,0.0,90.0,0.0,0,75,0,0,75,4.0,2,0,0,0,0,2,0,0,0,0,0,0,3.0,2.0,3.0,3.0,2.0,3.0,2,1,4.0,,4.0,-1197.317,-9.113,-59100.0,0.056,-0.61,360.366,-45500.0,-255.331,27.778,2
1,3.484,1,광주,북구,A01110,2010,4,4,4.0,1.0,6.0,2,3,4,4.0,6,3,1.0,3,1.0,10.0,2,60.0,20.0,20.0,0.0,0.0,4.0,1.0,3.0,2.0,51.0,30.0,19.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,5,4,3,4,4,3,4,4,4,3,3,3,2,4,5,4,4,3,4,3,3,4,2,3,3,4,2,3,4.0,5.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,100.0,0.0,0.0,0.0,39.0,37.0,0.0,0.0,76.0,4.0,5,0,0,0,0,5,1,0,0,0,0,1,3.0,2.0,3.0,3.0,5.0,3.0,2,1,4.0,2.0,2.0,266.224,27.306,3.063,182.613,668.771,20.487,4.289,417.742,120780.0,2
2,13.645,2,경남,합천군,A01122,2000,4,4,4.0,1.0,6.0,1,3,2,2.0,6,3,1.0,1,1.0,7.0,1,26.666666666666668,53.333333333333336,13.333333333333334,6.666666666666667,0.0,4.0,2.0,3.0,2.0,80.0,20.0,0.0,0.0,0.0,0.0,2,2,2,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,0.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,5,4,4,3,4,5,4,3,3,3,3,4,3,4,5,4,5,3,4,4,3,4,2,3,4,4,3,3,3.0,15.0,0.0,15.0,4.0,0.0,7.0,2.0,2.0,2.0,2.0,15.0,15.0,0.0,0.0,10.0,0.0,50.0,0.0,0,108,0,0,108,4.0,15,2,0,0,0,17,0,0,0,0,0,0,3.0,2.0,2.0,2.0,2.0,4.0,1,3,4.0,,4.0,48.726,67.238,8.065,47.157,70.135,5.656,9.194,276.033,24220.0,2
3,1.832,2,서울,송파구,A01123,2004,3,2,1.0,1.0,6.0,1,3,2,2.0,6,3,1.0,3,3.0,20.0,2,47.57281553398058,18.446601941747574,21.844660194174757,10.679611650485436,1.4563106796116505,6.0,5.0,1.0,2.0,34.0,0.0,1.0,0.0,0.0,65.0,1,2,2,2,5.0,4.0,4.0,4.0,4.0,4.0,4.0,30.0,7.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,14.0,5,4,4,4,3,4,3,3,3,2,3,3,2,4,5,5,4,4,3,4,3,3,4,3,3,4,2,3,6.0,206.0,0.0,206.0,45.0,53.0,15.0,88.0,5.0,2.0,2.0,206.0,206.0,0.0,0.0,15.0,0.0,78.0,7.0,462.0,970.0,0.0,0.0,1432.0,4.0,2,0,0,2,0,4,1,0,0,0,0,1,3.0,2.0,3.0,2.0,2.0,4.0,2,1,1.0,,0.0,170.242,37.004,-23.327,45.337,122.519,-28.58,-9.022,-217.814,8683.981,1
4,1.98,3,제주,제주시,A01123,1987,4,1,2.0,1.0,7.0,1,3,4,3.0,7,3,1.0,3,1.0,12.0,2,33.80281690140845,35.91549295774648,23.943661971830984,4.929577464788732,1.4084507042253522,6.0,5.0,1.0,3.0,52.0,0.0,0.0,26.0,0.0,22.0,1,2,2,2,3.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,0.5,7.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,1,2,3,3,3,2,7.0,76.0,0.0,76.0,17.0,18.0,13.0,34.0,60.0,2.0,2.0,142.0,142.0,0.0,0.0,0.0,79.4,0.0,20.6,60.0,89.0,0.0,0.0,149.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,3.0,3.0,2.0,4.0,1,3,1.0,1.0,5.0,224.979,30.771,-2.477,65.278,212.139,-5.254,1.501,39.542,36284.211,1
5,1.727,3,제주,제주시,A01123,1987,4,1,2.0,2.0,5.0,1,2,5,,10,3,1.0,1,3.0,20.0,2,3.0,2.0,93.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,53.0,7.0,0.0,25.0,15.0,2,2,2,1,3.0,4.0,4.0,3.0,3.0,3.0,4.0,16.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,7.0,3,3,4,3,2,2,3,3,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,,68.0,0.0,68.0,3.0,58.0,0.0,7.0,0.0,,,68.0,100.0,0.0,0.0,20.0,15.0,35.0,30.0,0,"2,950",0,0,"2,950",4.0,0,3,0,0,0,3,0,1,0,0,0,1,3.0,2.0,2.0,1.0,3.0,4.0,1,3,1.0,,0.0,235.809,29.78,0.374,82.865,278.262,1.04,2.509,52.433,44841.176,2
6,1.727,3,충북,진천군,A01140,2013,2,1,4.0,1.0,2.0,1,1,3,1.0,2,2,2.0,1,3.0,0.0,2,4.9504950495049505,4.9504950495049505,84.15841584158416,4.9504950495049505,0.9900990099009901,5.0,2.0,2.0,1.0,2.0,24.0,0.0,34.0,40.0,0.0,2,1,2,2,3.0,3.0,4.0,3.0,4.0,3.0,3.0,20.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,9.0,3,3,2,2,2,3,2,2,3,3,3,2,3,3,3,2,4,3,3,3,2,2,2,3,3,4,4,3,,77.0,0.0,77.0,6.0,64.0,4.0,3.0,0.0,,,77.0,101.0,0.0,0.0,0.74,98.76,0.0,0.5,373.0,875.0,0.0,0.0,1248.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,3.0,3.0,4.0,3.0,1,4,1.0,2.0,4.0,14.039,87.69,-61.18,32.79,37.393,-22.877,-60.267,-4053.543,11093.506,1
7,3.484,1,충북,음성군,A01140,2013,3,1,4.0,1.0,6.0,1,2,3,2.0,6,3,1.0,1,3.0,13.0,2,60.0,25.0,15.0,0.0,0.0,6.0,4.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,0.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,5,4,5,4,5,4,5,3,4,3,3,2,3,5,4,4,4,3,4,4,4,4,3,3,4,5,2,3,4.0,20.0,0.0,20.0,2.0,13.0,3.0,2.0,0.0,2.0,2.0,20.0,20.0,0.0,0.0,52.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2,0,0,0,0,2,1,0,0,0,0,1,2.0,2.0,4.0,4.0,6.0,2.0,2,1,4.0,2.0,5.0,142.988,41.154,1.646,59.732,145.142,2.39,0.76,46.667,27635.0,2
8,10.42,2,경기,화성시,A01140,2016,1,4,4.0,1.0,6.0,1,3,3,1.0,6,2,1.0,3,1.0,6.0,2,0.0,0.0,100.0,0.0,0.0,5.0,4.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,50.0,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.1,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,3,3,4,3,3,3,2,3,3,3,2,3,3,3,3,4,2,3,3,2,2,2,1,1,1,2,3,2,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0,265,0,0,265,4.0,0,0,0,0,2,2,0,0,0,0,0,0,3.0,2.0,2.0,1.0,2.0,4.0,2,3,4.0,,1.0,154.808,39.245,8.0,56.604,144.231,11.538,6.667,inf,7500.0,2
9,6.839,1,경기,화성시,A01159,2018,2,2,4.0,1.0,5.0,1,3,3,1.0,5,3,1.0,1,3.0,15.0,2,0.0,50.0,50.0,0.0,0.0,3.0,6.0,2.0,1.0,40.0,20.0,40.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.1,0.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,14.0,5,4,4,4,3,4,4,3,4,3,4,3,2,4,5,5,3,4,4,3,4,3,4,3,4,4,3,4,1.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0,60,0,0,60,4.0,0,0,0,2,0,2,1,0,0,0,0,1,2.0,2.0,2.0,2.0,2.0,4.0,1,4,4.0,2.0,0.0,204.977,32.789,5.911,30.119,91.855,5.43,5.419,366.667,5075.0,2
