,아이디,구분법인개인,가중치,쿼터규모,벤처확인유형,회사주소시도,회사주소구군,한국표준산업분류코드차,1단계업종분류대분류,2단계업종분류중분류,3단계업종분류소분류,창업년도,기업성장단계,제조및비제조,스마트공장도입의향,상장여부및향후계획,현대표이사와창업자동일여부,창업자성별,창업당시창업자연령,창업당시창업자최종학력,창업당시창업자전공,창업직전근무지,창업방식,단독창업여부,창업자역할,창업당시목표시장,창업당시창업자실무경험년수년,창업자과거창업경험여부,2019년 정규직_남성,2019년 정규직_여성,2019년 정규직_합계,2019년 비정규직_남성,2019년 비정규직_여성,2019년 비정규직_합계,2019년 총 종사자_남성,2019년 총 종사자_여성,2019년 총 종사자_합계,직종별인력구성관리,직종별인력구성생산,직종별인력구성영업,직종별인력구성_(Rnd),직종별인력구성기타,직종별인력구성합계,직종별부족인원관리,직종별부족인원생산,직종별부족인원영업,직종별 부족인원_연구개발(RnD),직종별부족인원기타,직종별부족인원합계,학력별인력구성박사,학력별인력구성석사,학력별인력구성대졸,학력별인력구성전문대졸,학력별인력구성고졸이하,학력별인력구성합계,신규인력채용의사,현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(1순위),지분구조퍼센트창업자,지분구조퍼센트임직원,지분구조퍼센트가족,지분구조퍼센트벤처캐피털및기관투자자,지분구조퍼센트엔젤및액셀러레이터,지분구조퍼센트개인투자자,2019년 자산(백만원),2019년 부채(백만원),2019년 자본(백만원),2019년 매출액(백만원),2019년 영업이익(백만원),2019년 금융비용(백만원),2019년 당기순이익(백만원),매출구조(퍼센트)_(B2B)대기업 또는 대기업그룹사 소속사,"매출구조(퍼센트)_(B2B)대기업에 납품하는 1,2차 벤더",매출구조(퍼센트)_(B2B)중소기업 및 벤처기업,매출구조(퍼센트)_(B2B)중견기업,매출구조(퍼센트)_(B2C)소비자매출,매출구조(퍼센트)_(B2G)정부 포함 공공부문 매출,매출구조퍼센트해외,연구개발(RnD)자금(출연금)_경험여부,융자정책자금경험여부,보증서지원경험여부,기타지원경험여부,합계경험여부,투자처별투자액백만원국내설비,투자처별 투자액(백만원)_국내연구개발(RnD),투자처별투자액백만원해외,투자처별투자액백만원기타,투자처별투자액백만원합계,스톡옵션활용상황,스톡옵션미활용이유,주력기술과차산업혁명관련여부,현재등록보유산업재산권건특허권,현재등록보유산업재산권건실용신안권,현재등록보유산업재산권건디자인권,현재등록보유산업재산권건상표권,현재등록보유산업재산권건해외,현재등록보유산업재산권건합계,현재출원중산업재산권건특허권,현재출원중산업재산권건실용신안권,현재출원중산업재산권건디자인권,현재출원중산업재산권건상표권,현재출원중산업재산권건해외,현재출원중산업재산권건합계,획득하고있는해외특허나국제규격,제품및서비스구조,세계유일기술보유여부,세계최고수준기업과비교시기술력수준,국내최고수준기업과비교시기술력수준,기술연구소나연구개발전담부서보유여부,경쟁사대비현황개발역량,경쟁사대비현황제조역량,경쟁사대비현황마케팅역량,경쟁전략초점원가우위수준,경쟁전략초점제품고부가가치화수준,비즈니스모델명확한정리정도,비즈니스모델혁신정도,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,주력제품국내시장점유율퍼센트,주력제품해외시장점유율퍼센트,원자재나부품수입여부,해외사업방식,해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(1순위),크라우드펀딩경험여부,엔젤투자자혹은액셀러레이터투자경험여부,벤처캐피털투자조합포함투자경험여부,인수합병(MnA) 경험여부,피인수합병경험여부,다른업체를인수합병할의향여부,다른업체의인수합병에응할의향여부,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(1순위),기업간 거래시 애로사항(1순위),벤처확인제도혜택기술개발촉진효과,벤처확인제도혜택기업이미지제고등광고효과,벤처확인제도혜택세제혜택효과,벤처확인제도혜택우수인력확보에유리,벤처확인제도혜택입지선정시유리,벤처확인제도혜택자금조달및투자유인효과,벤처확인제도혜택정부지원제도참여에유리,벤처확인제도혜택창업관련규제완화효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재벤처인프라수준벤처관련규제완화,현재벤처인프라수준창업및기업가적능력개발을위한교육,현재벤처인프라수준기업가정신을고취하는사회분위기,현재벤처인프라수준벤처투자활성화,경영상애로사항신기술개발,경영상애로사항개발된기술의사업화,경영상애로사항국내판로개척,경영상애로사항해외시장개척,경영상애로사항필요인력의확보및유지관리,경영상애로사항자금조달운용등자금관리,경영상애로사항기술유출및디자인상표도용,경영상애로사항업계내의과당경쟁및덤핑,경영상애로사항법률회계세무관련지식부족,경영상애로사항조직관리,경영상애로사항환율변동,경영상애로사항특허분쟁,경영상애로사항각종규제,경영상애로사항산학연간협력활동,경영상애로사항불공정한시장질서,2020년 정규직 수 (남성),2020년 정규직 수 (여성),2020년 정규직 수 (합계),2020년 비정규직 수 (남성),2020년 비정규직 수 (여성),2020년 비정규직 수 (합계),2020년 총 종사자 수 (남성),2020년 총 종사자 수 (여성),2020년 총 종사자 수 (합계),신규인력수요유무,보유지분비율합계,2019년 자산(백만원),2019년 부채(백만원),2019년 자본(백만원),2019년 매출액(백만원),2019년 영업이익(백만원),2019년 금융비용(백만원),2019년 당기순이익(백만원),2020년도 - 대기업 또는 대기업그룹사 소속사,2020년도 - 대기업에 납품하는 12차 벤더 (협력업체),2020년도 - 중소기업 및 벤처기업,2020년도 - 중견기업,2020년도_(B2C)소비자매출,2020년도 - B2G (정부 포함 공공부문 매출),2020년도 - 해외-,2020년도 - 국내설비투자액,2020년도 - 국내R_D투자액,2020년도 - 해외투자액,2020년도 - 기타,2020년도 - 합계,스톡옵션에관한귀사의상황은,귀사는스마트공장을도입하셨습니까,주력기술과차산업혁명관계여부,현재등록보유특허권,현재등록보유실용신안권,현재등록보유디자인권,현재등록보유상표권,현재등록보유해외산업재산권,현재등록보유합계,현재출원중특허권,현재출원중실용신안권,현재출원중디자인권,현재출원중상표권,현재출원중해외산업재산권,현재출원중합계,획득하고있는해외특허나국제규격,제품및서비스구조,세계유일기술보유여부,세계최고수준기업과비교시기술력수준,국내최고수준기업과비교시기술력수준,기술연구소나연구개발전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,원자재나부품수입여부,2020년 기준 귀사의 해외 사업 방식은 어디에 해당되십니까
0,9911,법인,10.42,1,3,경기,군포시,1110,A,1,11,2009,2,4,,4.0,1.0,1,2,3,1.0,6,3,1.0,3,1.0,4.0,2,10,8,18,0,0,0,10,8,18,5,0,2,6,2,15,0,0,0,0,0,0,1,5,7,2,0,15,,5,3,2,1,0.0,0.0,0.0,100.0,0.0,0.0,8998,9818,-820,5,-2275,891,-2955,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,2.0,,,,1.0,0.0,,,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,14.0,3,3,2,3,3,2,3,2,3,3,2,3,3,3,3,2,1,3,3,2,1,2,3,2,1,2,2,2,8.0,7.0,15.0,0.0,0.0,0.0,8.0,7.0,15.0,2.0,100.0,15625.0,7805.0,7820.0,1.0,-2014.0,716.0,-3287.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39.0,37.0,0.0,0.0,76.0,4.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,1.0,2.0,4.0
1,465,법인,3.484,4,1,광주,북구,1110,A,1,11,2010,4,4,2.0,4.0,1.0,2,3,4,4.0,6,3,1.0,3,1.0,10.0,2,3,2,5,0,0,0,3,2,5,2,0,2,1,0,5,0,0,0,0,0,0,0,0,1,1,3,5,1.0,4,1,3,2,51.0,30.0,19.0,0.0,0.0,0.0,"3,307","2,404",903,"6,039",259,62,185,0.0,0.0,10.0,0.0,0.0,90.0,0.0,2,2,2,2,2.0,0,75,0,0,75,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,5,4,3,4,4,3,4,4,4,3,3,3,2,4,5,4,4,3,4,3,3,4,2,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14557,법인,13.645,3,2,경남,합천군,1122,A,1,11,2000,4,4,2.0,4.0,1.0,1,3,2,2.0,6,3,1.0,1,1.0,7.0,1,11,4,15,0,0,0,11,4,15,4,0,7,2,2,15,0,0,0,0,0,0,0,1,2,8,4,15,1.0,4,2,3,2,80.0,20.0,0.0,0.0,0.0,0.0,"7,704","2,524","5,180","3,633",334,121,293,0.0,0.0,10.0,40.0,0.0,50.0,0.0,2,2,2,2,2.0,0,108,0,0,108,4.0,1.0,2.0,15.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,10.0,0.0,2.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,5,4,4,3,4,5,4,3,3,3,3,4,3,4,5,4,5,3,4,4,3,4,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7456,개인,1.7,1,2,광주,북구 군왕로,1122,A,1,11,2013,3,1,,,,1,3,2,2.0,6,3,,3,,4.0,2,1,1,2,0,0,0,1,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,,6,4,3,2,,,,,,,179,178,1,282,20,0,20,,,,,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,2,4,3,3,2,3,2,3,2,5,4,4,2,3,4,3,5,4,4,2,4,4,5,4,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,,196.0,180.0,16.0,180.0,12.0,7.0,15.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,3.0,,
4,578,법인,1.832,6,2,서울,송파구,1123,A,1,11,2004,3,2,2.0,1.0,1.0,1,3,2,2.0,6,3,1.0,3,3.0,20.0,2,124,82,206,0,0,0,124,82,206,45,53,15,88,5,206,0,0,0,0,0,0,3,22,45,38,98,206,1.0,6,5,1,2,34.0,0.0,1.0,0.0,0.0,65.0,"39,458","24,857","14,601","17,889","-1,614",741,"-4,173",0.0,0.0,20.0,0.0,15.0,35.0,30.0,1,2,2,2,1.0,0,"2,950",0,0,"2,950",4.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,30.0,7.0,1.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,14.0,5,4,4,4,3,4,3,3,3,2,3,3,2,4,5,5,4,4,3,4,3,3,4,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17405,법인,1.98,7,3,제주,제주시,1123,A,1,11,1987,4,1,,2.0,1.0,1,3,4,3.0,7,3,1.0,3,1.0,12.0,2,61,15,76,0,0,0,61,15,76,17,18,13,34,60,142,0,0,0,0,0,0,2,7,34,51,48,142,,6,5,1,3,52.0,0.0,0.0,26.0,0.0,22.0,42244,29245,12999,27576,414,1047,-683,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.0,3.0,4.0,4.0,,,,1.0,0.5,,,7.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,1,2,3,3,3,2,121.0,21.0,142.0,0.0,0.0,0.0,121.0,21.0,142.0,1.0,100.0,64866.0,43535.0,21331.0,31813.0,1509.0,868.0,839.0,0.0,0.0,15.0,0.0,0.0,78.0,7.0,462.0,970.0,0.0,0.0,1432.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0
6,35108,개인,1.02,1,2,경남,단장면 구미길 40-21,1131,A,1,11,2002,3,1,,,,1,2,3,1.0,2,3,,5,,2.0,2,0,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,,3,4,2,3,,,,,,,550,250,300,793,82,5,70,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,5,3,5,2,2,5,4,2,2,3,5,4,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,,500.0,300.0,200.0,291.0,-100.0,6.0,-110.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,1.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,4.0,,
7,238,법인,3.484,4,1,충북,음성군,1140,A,1,11,2013,3,1,2.0,4.0,1.0,1,2,3,2.0,6,3,1.0,1,3.0,13.0,2,8,12,20,0,0,0,8,12,20,2,13,3,2,0,20,0,0,0,0,0,0,0,0,3,5,12,20,1.0,6,4,2,3,100.0,0.0,0.0,0.0,0.0,0.0,"9,253","5,445","3,808","5,527",42,90,91,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1,2,2,2,1.0,0,265,0,0,265,4.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,0.0,2.0,4.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,5,4,5,4,5,4,5,3,4,3,3,2,3,5,4,4,4,3,4,4,4,4,3,3,4,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,32200,법인,10.42,1,2,경기,화성시,1140,A,1,11,2016,1,4,,4.0,1.0,1,3,3,1.0,6,2,1.0,3,1.0,6.0,2,2,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,,5,4,1,2,50.0,0.0,0.0,0.0,0.0,50.0,265,161,104,150,10,0,12,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,0.1,0.0,,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,3,3,4,3,3,3,2,3,3,3,2,3,3,3,3,4,2,3,3,2,2,2,1,1,1,2,3,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,100.0,201.0,133.0,68.0,64.0,-33.0,2.0,-35.0,0.0,0.0,52.0,13.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,6.0,2.0,2.0,1.0,2.0,4.0
9,27041,법인,6.839,1,1,경기,화성시,1159,A,1,11,2018,2,2,1.0,4.0,1.0,1,3,3,1.0,5,3,1.0,1,3.0,15.0,2,4,0,4,0,0,0,4,0,4,1,2,0,1,0,4,0,0,0,0,0,0,0,0,2,2,0,4,2.0,3,6,2,1,40.0,20.0,40.0,0.0,0.0,0.0,674,453,221,203,11,3,12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2,2,2,2,2.0,0,60,0,0,60,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,0.1,0.0,2.0,4.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,14.0,5,4,4,4,3,4,4,3,4,3,4,3,2,4,5,5,3,4,4,3,4,3,4,3,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
