주력제품 해외 시장점유율(퍼센트),주력제품 국내 시장점유율(퍼센트),매출구조비율(중소기업),매출구조비율(글로벌),총자산회전율,자기자본비율,부채비율,순이익률,등록보유(특허권),창업 당시 창업자 최종학력,창업 당시 목표시장,기업성장단계,해외수출 및 진출과정 애로사항,Exit
0.0,1.0,10.0,0.0,0.056,-9.113,-1197.317,-1739.26,2,3,1,2,2,0
0.0,1.0,100.0,0.0,182.613,27.306,266.224,3.063,5,4,1,4,8,0
0.0,10.0,10.0,0.0,47.157,67.238,48.726,8.065,15,2,1,4,4,0
5.0,30.0,30.0,30.0,55.927,24.734,304.309,-6.119,0,2,3,3,3,1
0.0,30.0,30.0,0.0,69.228,46.665,114.292,-11.386,0,2,3,3,2,1
7.0,30.0,20.0,30.0,64.658,51.08,95.771,11.307,0,2,3,3,5,1
7.0,30.0,15.0,7.0,45.337,37.004,170.242,-23.327,2,2,3,3,8,1
0.5,1.0,0.0,20.6,65.278,30.771,224.979,-2.477,0,4,1,4,7,0
0.0,0.1,100.0,0.0,56.604,39.245,154.808,8.0,0,3,1,1,4,0
0.0,1.0,52.0,0.0,59.732,41.154,142.988,1.646,2,3,3,3,8,0
0.0,0.1,0.0,0.0,30.119,32.789,204.977,5.911,0,3,3,2,8,0
0.0,15.0,0.0,0.0,107.383,45.425,120.141,11.654,0,5,3,3,7,0
1.0,2.0,20.0,10.0,204.868,26.344,279.6,2.911,0,3,1,3,6,0
0.0,1.0,80.0,20.0,844.633,15.345,551.683,0.515,0,3,3,3,2,0
0.01,5.0,0.0,0.0,204.868,26.344,279.6,2.911,0,3,3,3,7,0
0.0,2.0,50.0,0.0,30.241,49.206,103.229,-38.305,0,3,1,2,2,0
0.3,0.1,5.0,90.0,8.559,14.253,601.359,144.796,7,1,1,3,7,0
0.0,0.1,50.0,0.0,58.717,8.029,1144.97,-27.265,4,5,1,2,3,0
0.0,0.1,100.0,0.0,35.665,35.143,184.554,9.854,0,3,1,2,8,0
0.0,0.1,0.0,0.0,24.769,39.198,155.118,-16.822,8,2,3,3,8,0
0.0,0.1,80.0,0.0,0.667,30.0,233.333,-1500.0,1,2,3,1,3,0
0.0,0.1,0.0,0.0,32.946,47.093,112.346,2.647,2,3,3,3,8,0
0.0,1.0,10.0,0.0,89.561,48.569,105.894,5.098,5,3,3,3,8,0
0.0,2.0,60.0,0.0,46.157,31.386,218.615,-11.191,49,1,1,3,3,0
0.0,2.0,60.0,0.0,46.5,31.542,217.041,4.573,43,1,1,3,3,0
0.0,38.0,0.0,0.0,116.138,25.015,299.753,1.535,0,5,1,4,4,0
0.0,0.01,0.0,0.0,270.689,23.673,322.419,2.432,2,3,1,3,5,0
0.0,10.0,100.0,0.0,244.58,11.124,798.958,0.385,2,3,1,2,1,0
0.0,0.5,100.0,0.0,304.817,14.038,612.335,0.464,0,3,1,2,2,0
0.0,0.01,0.0,0.0,223.241,20.967,376.935,1.25,2,3,1,3,1,0
0.0,0.1,100.0,0.0,192.987,26.986,270.561,-3.814,0,5,1,3,1,0
0.0,20.0,100.0,0.0,266.384,-13.458,-843.043,-10.176,0,5,1,3,1,0
0.0,0.01,0.0,0.0,234.797,21.587,363.232,2.274,0,3,1,3,5,0
0.0,5.0,100.0,0.0,86.667,37.794,164.589,7.75,0,5,1,2,8,0
0.01,0.5,30.0,20.0,98.544,49.826,100.698,-1.859,2,2,3,2,2,1
0.0,0.01,40.0,0.0,232.537,23.462,326.228,3.637,3,5,1,3,2,0
0.0,9.0,100.0,0.0,164.892,4.822,1973.671,-1.349,0,5,3,3,8,0
0.0,10.0,100.0,0.0,263.726,13.035,667.193,0.301,0,3,1,2,2,0
0.0,2.0,0.0,0.0,225.862,16.121,520.302,0.069,4,5,1,3,7,0
0.0,3.0,100.0,0.0,324.275,75.435,32.565,10.86,0,3,1,3,1,0
0.0,3.0,87.0,0.0,437.994,29.331,240.934,1.628,0,3,3,1,1,0
0.0,10.0,60.0,0.0,172.857,44.422,125.114,10.68,0,3,1,3,8,0
