가중치,벤처확인 유형,회사주소_시(도),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,대표이사_이전근무지,대표이사_창업자여부,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 직전 근무지,창업방식,단독창업 여부,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,정규직합계,비정규직합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),인력구성(합계),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_개인투자자,매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),융자(정책)_경험여부,투자액(국내설비),투자액(R&D),투자액(해외),투자액(기타),투자액(합계),스톡옵션상황,등록보유(특허권),등록보유(실용신안권),등록보유(디자인권),등록보유(상표권),등록보유(해외산업재산권),등록보유(합계),출원중(특허권),출원중(실용신안권),출원중(디자인권),출원중(상표권),출원중(해외산업재산권),출원중(합계),제품및서비스구조,기술력수준비교(세계),기술력수준비교(국내),연구개발관련전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병(MnA) 경험여부,인수합병 고려 여부,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_우수인력 확보에 유리,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,실천하고있는사회적책임,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,학력별 인력구성비(고졸이하),총종사자합계,부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_가족,전공과 업종 일치 여부,학력별 인력구성_합계
2.449,2,서울,A01123,2004,3,2,1,6,1,1,3,2,6,3,1.0,3,20,2,210.0,46.0,35.0,84.0,52.0,85.0,0.0,256.0,22.0,36.0,18.0,0.0,3,1,33.5,0.1,0.0,65.0,0.0,0.0,20.0,15.0,35.0,30.0,1.0,224.0,4613.0,0.0,0.0,4837.0,2,0,1,0,64,0,65,0,0,0,0,0,0,3,3,2,1,4,1,1,30.0,7.0,5,7,2,4,2,1,3,5,1,4,4,5,5,4,4,4,4,4,3,3.0,4,4,4,5,4,4,3,3,2,2,2,2,2,2.0,2,24.0,256.0,95.771,51.08,11.307,64.658,126.583,14.313,3.519,145.631,8325.781,0.0,1.4,1,100.0
2.294,2,서울,A01123,2004,3,4,1,6,1,1,3,2,6,3,1.0,3,25,2,175.0,0.0,49.0,62.0,56.0,50.0,3.0,220.0,22.0,20.0,28.0,0.0,1,3,45.7,8.6,0.0,0.0,0.0,0.0,30.0,30.0,40.0,0.0,1.0,647.0,714.0,0.0,0.0,1361.0,2,0,2,0,0,0,2,0,0,0,0,0,0,3,3,2,1,4,1,3,30.0,0.0,2,4,2,4,2,1,3,4,1,5,4,5,5,4,5,4,4,4,3,3.0,3,4,4,5,3,3,3,2,3,3,4,3,2,3.0,3,30.0,175.0,114.292,46.665,-11.386,69.228,148.35,-16.891,-5.424,-102.653,12230.857,7.2,38.5,1,100.0
2.061,2,서울,A01123,2004,3,4,1,6,1,1,4,2,6,3,1.0,3,25,2,169.0,0.0,39.0,45.0,45.0,40.0,0.0,169,10.0,20.0,35.0,0.0,1,5,45.7,7.1,0.0,0.0,0.0,0.0,30.0,40.0,0.0,30.0,1.0,0,"2,800",0.0,200,"3,000",2,0,2,0,37,0,39,0,0,0,0,0,0,3,2,2,1,4,1,3,30.0,5.0,3,4,2,4,2,1,3,6,4,5,5,5,5,4,5,4,4,4,4,1.0,3,3,4,3,3,4,3,2,3,3,3,3,3,3.0,3,35.0,169.0,304.309,24.734,-6.119,55.927,226.118,-13.836,0.79,14.706,11613.609,45.3,2.0,2,100.0
48.561,2,전북,B07290,2009,3,3,5,6,1,1,2,1,6,3,1.0,1,5,2,9.0,0.0,1.0,4.0,0.0,4.0,0.0,9,0.0,44.0,28.0,0.0,3,1,0.0,90.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0.0,2.0,0,255,0.0,50,305,2,49,0,0,9,0,58,0,0,0,0,3,3,2,2,2,1,4,1,3,2.0,0.0,3,4,2,4,2,1,2,4,4,4,4,2,2,3,3,4,4,4,4,,5,4,5,4,5,4,3,3,4,3,3,4,3,3.0,4,28.0,9.0,218.615,31.386,-11.191,46.157,147.065,-16.458,-12.658,-553.731,32566.667,0.0,10.0,2,100.0
46.0,4,전북,B07290,2009,3,1,5,6,1,1,2,1,6,3,1.0,1,5,2,8.0,0.0,1.0,3.0,0.0,2.0,0.0,6.0,0.0,44.0,28.0,0.0,3,4,0.0,90.0,0.0,0.0,40.0,0.0,60.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,32.0,2,43,0,0,0,0,43,0,0,0,0,0,0,2,2,1,1,4,1,3,2.0,0.0,3,4,2,4,2,1,1,4,4,4,4,4,3,4,3,3,4,3,3,6.0,3,3,4,4,4,4,4,3,2,3,3,2,4,3.0,4,28.0,8.0,217.041,31.542,4.573,46.5,147.425,6.742,8.86,236.441,39362.5,0.0,10.0,2,100.0
2.259,2,경기,C10110,1986,4,1,2,10,1,1,2,5,10,3,1.0,1,20,2,230.0,0.0,15.0,220.0,2.0,3.0,0.0,240.0,0.0,6.0,0.0,0.0,6,5,26.0,17.0,0.0,0.0,0.0,63.0,0.0,37.0,0.0,0.0,2.0,1222.0,53.0,0.0,0.0,1275.0,2,0,0,0,2,0,2,0,0,0,0,0,0,3,5,2,2,4,1,3,38.0,0.0,4,6,2,4,2,1,3,5,6,3,4,4,4,3,3,3,3,3,2,7.0,5,5,4,4,3,3,3,4,2,3,4,2,5,4.0,3,94.0,230.0,299.753,25.015,1.535,116.138,464.265,7.126,2.255,95.266,15522.609,0.0,57.0,2,100.0
46.0,3,전남,C10121,2014,2,1,1,6,1,1,3,2,6,3,1.0,3,5,2,7.0,0.0,2.0,5.0,2.0,0.0,0.0,9.0,9.0,38.0,0.0,0.0,5,1,0.0,66.6,0.0,33.4,0.0,0.0,30.0,50.0,0.0,20.0,2.0,128.0,28.0,0.0,0.0,156.0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,3,2,4,4,2,1,0.5,0.01,2,3,2,4,2,1,2,1,8,3,4,4,4,4,3,3,2,3,3,7.0,4,3,3,4,4,4,3,2,3,3,4,4,3,3.0,3,53.0,7.0,100.698,49.826,-1.859,98.544,197.776,-3.677,4.176,288.471,813057.143,0.0,0.0,2,100.0
9.106,2,강원,C10121,2012,2,1,5,6,1,1,3,3,6,3,1.0,1,15,2,40.0,0.0,5.0,31.0,2.0,2.0,0.0,40.0,12.0,6.0,0.0,0.0,1,2,92.0,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,76.0,57.0,0.0,0.0,133.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,2,1,10.0,0.0,2,3,2,4,2,1,5,2,6,3,4,3,3,3,2,3,3,3,4,3.0,4,4,4,4,3,3,4,4,4,2,2,2,2,3.0,3,82.0,40.0,667.193,13.035,0.301,263.726,2023.286,6.094,1.519,230.612,92970.0,0.0,0.0,2,100.0
10.705,2,경남,C10121,2010,3,1,5,9,1,1,3,3,9,3,2.0,1,10,1,47.0,0.0,3.0,39.0,3.0,2.0,0.0,47,20.0,20.0,0.0,0.0,1,5,49.0,51.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,2,3,0.01,0.0,5,1,2,4,2,1,2,4,1,3,4,4,3,3,3,3,2,3,3,5.0,5,5,4,5,3,5,4,3,2,2,3,3,3,4.0,5,60.0,47.0,363.232,21.587,2.274,234.797,1087.657,24.738,2.775,251.965,44246.809,0.0,0.0,2,100.0
8.833,2,충남,C10121,2014,3,1,5,5,2,1,4,5,6,3,2.0,1,20,2,49.0,0.0,7.0,39.0,3.0,0.0,0.0,49.0,15.0,20.0,0.0,0.0,1,7,67.0,33.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,2,3,0.1,0.0,1,2,2,4,2,1,2,4,1,4,3,4,4,4,4,3,3,4,3,3.0,4,3,5,5,3,4,3,4,3,3,3,3,3,3.0,3,65.0,49.0,270.561,26.986,-3.814,192.987,715.135,-27.277,-3.023,-313.253,35100.0,0.0,0.0,2,100.0
