회사주소_시(도),한국표준산업분류(KSIC)코드_10차,상장여부,인수합병(MnA) 경험여부,가중치,벤처확인 유형,기업성장단계,제조 및 비제조,대표이사_창업자여부,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 직전 근무지,창업방식,단독창업 여부,창업 당시 목표시장,창업자 과거창업 경험 여부,융자(정책)_경험여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,전공과 업종 일치 여부,연구개발관련전담부서보유여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,해외수출 및 진출과정 애로사항,제품및서비스구조,기술력수준비교(세계),기술력수준비교(국내),주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),정규직비율,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),부서별_인력구성(관리),부서별_인력구성(생산),부서별_인력구성(영업),부서별_인력구성(RnD),매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액비(국내설비),투자액비(RnD),투자액비(해외),투자액비(기타),부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,창업 당시 창업자 실무경험 년수(년),벤처확인제도 혜택(평균),벤처인프라 수준(평균),등록보유(합계),출원중(합계),경영상 애로사항(개수),벤처캐피털(투자조합포함) 투자 경험여부
경기,A01110,2,2.0,10.42,3,2,4,1.0,2,3,6,3,1.0,1.0,2,2.0,3.0,2,1,2.0,1.0,2,2.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,13.333333333333334,46.66666666666666,33.33333333333333,6.666666666666667,33.333,0.0,13.333,40.0,0.0,0.0,10.0,0.0,90.0,0.0,0.0,100.0,0.0,0.0,-1197.317,-9.113,-1739.26,0.056,-0.61,360.366,-1245.946,-255.331,27.778,4.0,2.667,2.75,2,0,0,1
광주,A01110,2,2.0,3.484,1,4,4,1.0,3,4,6,3,1.0,1.0,2,2.0,3.0,2,1,2.0,3.0,2,8.0,3.0,3.0,3.0,1.0,0.0,1.0,60.0,20.0,20.0,0.0,0.0,40.0,0.0,40.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,51.316,48.684,0.0,0.0,266.224,27.306,3.063,182.613,668.771,20.487,4.289,417.742,120780.0,10.0,3.833,3.25,5,1,7,0
경남,A01122,2,2.0,13.645,2,4,4,1.0,3,2,6,3,1.0,1.0,1,2.0,4.0,1,3,1.0,1.0,2,4.0,3.0,2.0,2.0,10.0,0.0,1.0,26.666666666666668,53.333333333333336,13.333333333333334,6.666666666666667,0.0,26.667,0.0,46.667,13.333,0.0,0.0,10.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0,48.726,67.238,8.065,47.157,70.135,5.656,9.194,276.033,24220.0,7.0,4.167,3.25,17,0,9,0
서울,A01123,1,2.0,2.061,2,3,4,1.0,4,2,6,3,1.0,3.0,2,1.0,4.0,1,3,2.0,1.0,2,3.0,3.0,2.0,2.0,30.0,5.0,1.0,35.0,10.0,20.0,35.0,0.0,23.077,26.627,26.627,23.669,0.0,0.0,30.0,40.0,0.0,30.0,0.0,93.333,0.0,6.667,304.309,24.734,-6.119,55.927,226.118,-13.836,0.79,14.706,11613.609,25.0,4.833,4.0,39,0,2,0
서울,A01123,1,2.0,2.294,2,3,4,1.0,3,2,6,3,1.0,3.0,2,1.0,4.0,1,3,1.0,1.0,2,2.0,3.0,3.0,2.0,30.0,0.0,1.0,30.0,22.0,20.0,28.0,0.0,22.273,28.182,25.455,22.727,0.0,0.0,30.0,30.0,40.0,0.0,47.539,52.461,0.0,0.0,114.292,46.665,-11.386,69.228,148.35,-16.891,-5.424,-102.653,12230.857,25.0,4.667,3.75,2,0,4,0
서울,A01123,1,2.0,2.449,2,3,2,1.0,3,2,6,3,1.0,3.0,2,1.0,4.0,1,1,1.0,1.0,2,5.0,3.0,3.0,2.0,30.0,7.0,0.82,24.0,22.0,36.0,18.0,0.0,13.672,32.812,20.312,33.203,0.0,0.0,20.0,15.0,35.0,30.0,4.631,95.369,0.0,0.0,95.771,51.08,11.307,64.658,126.583,14.313,3.519,145.631,8325.781,20.0,4.333,3.75,65,0,6,0
서울,A01123,1,2.0,1.832,2,3,2,1.0,3,2,6,3,1.0,3.0,2,2.0,4.0,2,1,1.0,1.0,2,8.0,3.0,3.0,2.0,30.0,7.0,1.0,47.57281553398058,18.446601941747574,21.84466019417476,10.679611650485436,1.4563106796116505,21.845,25.728,7.282,42.718,0.0,0.0,15.0,0.0,78.0,7.0,32.263,67.737,0.0,0.0,170.242,37.004,-23.327,45.337,122.519,-28.58,-9.022,-217.814,8683.981,20.0,4.0,2.75,4,1,8,0
제주,A01123,2,3.0,1.727,3,4,1,2.0,2,5,10,3,1.0,3.0,2,2.0,4.0,1,3,2.0,1.0,1,3.0,3.0,2.0,1.0,16.0,2.0,1.0,3.0,2.0,93.0,1.0,1.0,4.412,85.294,0.0,10.294,0.0,0.0,20.0,15.0,35.0,30.0,0.0,100.0,0.0,0.0,235.809,29.78,0.374,82.865,278.262,1.04,2.509,52.433,44841.176,20.0,3.0,3.5,3,1,7,0
제주,A01123,2,2.0,1.98,3,4,1,1.0,3,4,7,3,1.0,1.0,2,2.0,4.0,1,3,2.0,1.0,2,7.0,3.0,3.0,3.0,1.0,0.5,1.0,33.80281690140845,35.91549295774648,23.943661971830984,4.929577464788732,1.4084507042253522,11.972,12.676,9.155,23.944,0.0,0.0,0.0,79.4,0.0,20.6,40.268,59.732,0.0,0.0,224.979,30.771,-2.477,65.278,212.139,-5.254,1.501,39.542,36284.211,12.0,3.0,3.25,0,0,0,0
충북,A01140,2,3.0,1.727,3,2,1,1.0,1,3,2,2,2.0,3.0,2,1.0,3.0,1,4,2.0,2.0,1,3.0,3.0,3.0,3.0,20.0,1.0,1.0,4.950495049504951,4.950495049504951,84.15841584158416,4.950495049504951,0.99009900990099,7.792,83.117,5.195,3.896,0.0,0.0,0.74,98.76,0.0,0.5,29.888,70.112,0.0,0.0,14.039,87.69,-61.18,32.79,37.393,-22.877,-60.267,-4053.543,11093.506,0.0,2.5,2.75,0,0,3,1
경기,A01140,2,2.0,10.42,2,1,4,1.0,3,3,6,2,1.0,1.0,2,2.0,4.0,2,3,2.0,4.0,2,4.0,3.0,2.0,1.0,0.1,0.0,1.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,154.808,39.245,8.0,56.604,144.231,11.538,6.667,147600.0,7500.0,6.0,3.0,2.75,2,0,1,0
