법인|개인,가중치,벤처확인 유형,회사주소_시(도),회사주소_구(군),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,상장년도,상장거래소,대표이사_창업자여부,13_대표이사_연령_법인,14_대표이사_최종학력_법인,141_대표이사_전공_법인,141_대표이사_전공_기타_법인,15_대표이사_이전근무지_법인,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 당시 창업자 전공,창업 직전 근무지,창업방식,단독창업 여부,창업자 역할,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,학력별 인력구성_고졸이하,학력별 인력구성_전문대졸,학력별 인력구성_대졸,학력별 인력구성_석사,학력별 인력구성_박사,현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_가족,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_개인투자자,1_지분_합계_법인,21_재무상태표_2017년_자산총계_공통,21_재무상태표_2018년_자산총계_공통,22_재무상태표_2017년_부채총계_공통,22_재무상태표_2018년_부채총계_공통,23_재무상태표_2017년_자본총계_공통,23_재무상태표_2018년_자본총계_공통,31_2017년_매출액_공통,31_2018년_매출액_공통,32_2017년_영업이익_공통,32_2018년_영업이익_공통,33_2017년_금융비용_공통,33_2018년_금융비용_공통,34_2017년_당기순이익_공통,34_2018년_당기순이익_공통,매출구조(퍼센트)_(B2B)대기업 또는 대기업그룹사 소속사,매출구조(퍼센트)_(B2B)(대기업에 납품하는 1_2차 벤더),매출구조(퍼센트)_(B2B)(중소기업 및 벤처기업),매출구조(퍼센트)_(B2C)소비자 매출,매출구조(퍼센트)_(B2G)정부 포함 공공부문 매출,매출구조(퍼센트)_해외,4_매출_합계_공통,연구개발(RnD)자금(출연금)_경험여부,융자(정책자금)_경험여부,보증서지원_경험여부,기타지원_경험여부,6_신규자금조달규모_법인,6_신규자금조달_기업공개(IPO)_법인,6_신규자금조달_캐피탈_법인,6_신규자금조달_회사채_법인,6_신규자금조달_정부지원금_법인,6_신규자금조달_은행_법인,6_신규자금조달_기타_법인,6_신규자금조달_합계_법인,투자처별 투자액(백만원)_국내설비,투자처별 투자액(백만원)_국내연구개발(RnD),투자처별 투자액(백만원)_해외,투자처별 투자액(백만원)_기타,투자처별 투자액(백만원)_합계,8_스톡옵션상황_법인,주력기술과 4차 산업혁명 관련 여부,11_분야별주력제품관련성_0_공통,11_분야별주력제품관련성_1_공통,11_분야별주력제품관련성_2_공통,현재 등록보유 산업재산권(건)_특허권,현재 등록보유 산업재산권(건)_실용신안권,현재 등록보유 산업재산권(건)_디자인권,현재 등록보유 산업재산권(건)_상표권,현재 등록보유 산업재산권(건)_해외,현재 등록보유 산업재산권(건)_합계,현재 출원중 산업재산권(건)_특허권,현재 출원중 산업재산권(건)_실용신안권,현재 출원중 산업재산권(건)_디자인권,현재 출원중 산업재산권(건)_상표권,현재 출원중 산업재산권(건)_해외,현재 출원중 산업재산권(건)_합계,획득하고 있는 해외특허나 국제규격,제품 및 서비스 구조,세계 유일기술 보유여부,세계 최고수준 기업과 비교시 기술력 수준,국내 최고수준 기업과 비교시 기술력 수준,기술연구소나 연구개발 전담부서 보유여부,경쟁사 대비 현황_개발역량,경쟁사 대비 현황_제조역량,경쟁사 대비 현황_마케팅역량,경쟁전략초점_원가우위 수준,경쟁전략초점_제품 고부가가치화 수준,비즈니스 모델_명확한 정리정도,비즈니스 모델_혁신정도,4_장기적성장전망성_법인,1_자체브랜드보유여부_공통,영업 및 마케팅 방식,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),4_글로벌사업방식_법인,해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),크라우드 펀딩 경험여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병의향,인수합병응할의향,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),4_기업간거래시주요애로사항_2순위_법인,벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_우수인력 확보에 유리,벤처확인제도 혜택_입지 선정 시 유리,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_창업 관련 규제 완화 효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,현재 벤처인프라 수준_벤처투자 활성화,31_실천하고있는사회적책임_0_법인,31_실천하고있는사회적책임_1_법인,32_향후사회적책임실천할계획여부_법인,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,매출규모,정규직합계,비정규직합계,총종사자합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),직종별 부족인원_관리,직종별 부족인원_생산,직종별 부족인원_영업,직종별 부족인원_연구개발(RnD),직종별 부족인원_기타,직종별 부족인원_합계,학력별 인력구성_합계,2019년 자산(백만원),2019년 부채(백만원),2019년 자본(백만원),2019년 매출액(백만원),2019년 영업이익(백만원),2019년 금융비용(백만원),2019년 당기순이익(백만원),인수합병(MnA) 경험여부,피인수합병 경험여부,인력구성(합계)
법인,10.42,3,경기,군포시,A01110,2009,2,4,4.0,,,1.0,,,,,6.0,1,2,3,1.0,6,3,1.0,3,1.0,4.0,2,0.0,2.0,7.0,5.0,1.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,2.0,,,,1.0,0.0,,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,14.0,,3,3,2,3,3,2,3,2,3,3,2,3,3,,,,3,3,2,1,3,3,2,1,2,3,2,1,2,2,2,1.0,18.0,0.0,18.0,5.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8998,9818,-820,5,-2275,891,-2955,2.0,2.0,15.0
법인,3.484,1,광주,북구,A01110,2010,4,4,4.0,,,1.0,,,,,6.0,2,3,4,4.0,6,3,1.0,3,1.0,10.0,2,3.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,51.0,30.0,19.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,1.0,0.0,,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,,5,4,3,4,4,3,4,4,4,3,3,3,2,,,,4,5,4,4,3,4,3,3,4,2,3,3,4,2,3,4.0,5.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"3,307","2,404",903,"6,039",259,62,185,2.0,2.0,5.0
법인,13.645,2,경남,합천군,A01122,2000,4,4,4.0,,,1.0,,,,,6.0,1,3,2,2.0,6,3,1.0,1,1.0,7.0,1,4.0,8.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0,80.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,10.0,0.0,,4.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,,5,4,4,3,4,5,4,3,3,3,3,4,3,,,,4,5,4,5,3,4,4,3,4,2,3,4,4,3,3,3.0,15.0,0.0,15.0,4.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"7,704","2,524","5,180","3,633",334,121,293,2.0,2.0,15.0
법인,1.832,2,서울,송파구,A01123,2004,3,2,1.0,,,1.0,,,,,6.0,1,3,2,2.0,6,3,1.0,3,3.0,20.0,2,98.0,38.0,45.0,22.0,3.0,6.0,5.0,1.0,2.0,34.0,0.0,1.0,0.0,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,30.0,7.0,,8.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,14.0,,5,4,4,4,3,4,3,3,3,2,3,3,2,,,,4,5,5,4,4,3,4,3,3,4,3,3,4,2,3,6.0,206.0,0.0,206.0,45.0,53.0,15.0,88.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,"39,458","24,857","14,601","17,889","-1,614",741,"-4,173",2.0,2.0,206.0
법인,1.98,3,제주,제주시,A01123,1987,4,1,2.0,,,1.0,,,,,7.0,1,3,4,3.0,7,3,1.0,3,1.0,12.0,2,48.0,51.0,34.0,7.0,2.0,6.0,5.0,1.0,3.0,52.0,0.0,0.0,26.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.0,3.0,4.0,4.0,,,,1.0,0.5,,7.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,,3,3,4,3,3,2,3,3,3,3,4,3,3,,,,3,3,3,2,3,3,2,2,2,1,2,3,3,3,2,7.0,76.0,0.0,76.0,17.0,18.0,13.0,34.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,42244,29245,12999,27576,414,1047,-683,2.0,2.0,142.0
법인,1.727,3,제주,제주시,A01123,1987,4,1,2.0,,,2.0,52.0,3.0,5.0,농대농생물학,5.0,1,2,5,,10,3,1.0,1,3.0,20.0,2,3.0,2.0,93.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0,53.0,7.0,0.0,25.0,15.0,100.0,32451.0,36797.0,22770.0,25840.0,9681.0,10958.0,28777.0,30492.0,1334.0,765.0,1422.0,1459.0,-788.0,114.0,0.0,0.0,0.0,79.4,0.0,20.6,100.0,2,2,2,1,284.0,0.0,0.0,18.0,22.0,60.0,0.0,100.0,60.0,89.0,0.0,0.0,149.0,3.0,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,16.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,7.0,2.0,3,3,4,3,2,2,3,3,3,3,4,4,4,4.0,5.0,1.0,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,,68.0,0.0,68.0,3.0,58.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,68.0
법인,1.727,3,충북,진천군,A01140,2013,2,1,4.0,,,1.0,,,,,2.0,1,1,3,1.0,2,2,2.0,1,3.0,0.0,2,5.0,5.0,85.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,24.0,0.0,34.0,40.0,0.0,100.0,18224.0,26051.0,4996.0,3207.0,13229.0,22844.0,6042.0,8542.0,-3735.0,-5148.0,109.0,127.0,-3861.0,-5226.0,0.0,0.0,0.74,98.76,0.0,0.5,100.0,2,1,2,2,718.0,0.0,3.0,0.0,97.0,0.0,0.0,100.0,373.0,875.0,0.0,0.0,1248.0,4.0,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,20.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,9.0,10.0,3,3,2,2,2,3,2,2,3,3,3,2,3,2.0,5.0,2.0,3,3,2,4,3,3,3,2,2,2,3,3,4,4,3,,77.0,0.0,77.0,6.0,64.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,77.0
법인,3.484,1,충북,음성군,A01140,2013,3,1,4.0,,,1.0,,,,,6.0,1,2,3,2.0,6,3,1.0,1,3.0,13.0,2,12.0,5.0,3.0,0.0,0.0,6.0,4.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,3.0,4.0,3.0,,,,1.0,0.0,,8.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,,5,4,5,4,5,4,5,3,4,3,3,2,3,,,,5,4,4,4,3,4,4,4,4,3,3,4,5,2,3,4.0,20.0,0.0,20.0,2.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,"9,253","5,445","3,808","5,527",42,90,91,2.0,2.0,20.0
법인,10.42,2,경기,화성시,A01140,2016,1,4,4.0,,,1.0,,,,,6.0,1,3,3,1.0,6,2,1.0,3,1.0,6.0,2,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,0.1,0.0,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,,3,3,4,3,3,3,2,3,3,3,2,3,3,,,,3,3,4,2,3,3,2,2,2,1,1,1,2,3,2,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,265,161,104,150,10,0,12,2.0,2.0,1.0
법인,6.839,1,경기,화성시,A01159,2018,2,2,4.0,,,1.0,,,,,5.0,1,3,3,1.0,5,3,1.0,1,3.0,15.0,2,0.0,2.0,2.0,0.0,0.0,3.0,6.0,2.0,1.0,40.0,20.0,40.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,0.1,0.0,,8.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,14.0,,5,4,4,4,3,4,4,3,4,3,4,3,2,,,,4,5,5,3,4,4,3,4,3,4,3,4,4,3,4,1.0,4.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,674,453,221,203,11,3,12,2.0,2.0,4.0
