회사명,거래소코드,회계년도,[공통]배당성향(IFRS),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2022/12,66.43,12.44
(주)DB하이텍,000990,2022/12,10.12,25.39
(주)HJ중공업,097230,2022/12,0,0
(주)JB금융지주,175330,2022/12,40.84,14.11
(주)KB금융지주,105560,2022/12,33.54,27.02
(주)MH에탄올,023150,2022/12,28.62,35.4
(주)SH에너지화학,002360,2022/12,89.07,1.97
(주)SIMPAC,009160,2022/12,22.84,33.18
(주)SNT에너지,100840,2022/12,40.47,70.2
(주)SNT홀딩스,036530,2022/12,30.4,69.25
(주)STX,011810,2022/12,0,0
(주)TCC스틸,002710,2022/12,12.98,11.86
(주)강원랜드,035250,2022/12,61.23,66.33
(주)갤럭시아에스엠,011420,2022/12,0,0
(주)경농,002100,2022/12,38.21,65.89
(주)경동나비엔,009450,2022/12,16.54,49.6
(주)경동도시가스,267290,2022/12,21.94,34.97
(주)경동인베스트,012320,2022/12,0,13.83
(주)경방,000050,2022/12,0,22.72
(주)경보제약,214390,2022/12,195.77,10
(주)경인양행,012610,2022/12,27.05,9.98
(주)광명전기,017040,2022/12,10.23,1.96
(주)광주신세계,037710,2022/12,30.74,218.82
(주)국동,005320,2022/12,0,0
(주)국보,001140,2022/12,0,0
(주)금비,008870,2022/09,0,14.57
(주)금양,001570,2022/12,0,0
(주)금호에이치티,214330,2022/12,0,0
(주)까뮤이앤씨,013700,2022/12,0,3
(주)나이스홀딩스,034310,2022/12,0,76.7
(주)남선알미늄,008350,2022/12,0,0
(주)남성,004270,2022/12,24.53,4.32
(주)넥센,005720,2022/12,19.09,20.86
(주)노루페인트,090350,2022/12,75.79,55.02
(주)노루홀딩스,000320,2022/12,16.03,61.43
(주)녹십자,006280,2022/12,36.78,34.18
(주)녹십자홀딩스,005250,2022/12,84.51,51.25
(주)농심,004370,2022/12,37.47,95.07
(주)농심홀딩스,072710,2022/12,92.11,50
(주)다우기술,023590,2022/12,34.76,115.41
(주)다이나믹디자인,145210,2022/12,0,0
(주)대교,019680,2022/12,0,0.41
(주)대구백화점,006370,2022/12,0,0.77
(주)대덕,008060,2022/12,0,80.03
(주)대동,000490,2022/12,20.61,9.65
(주)대양금속,009190,2022/12,0,0
(주)대우건설,047040,2022/12,0,0
(주)대웅,003090,2022/12,7.71,14.3
(주)대웅제약,069620,2022/12,13.68,22.93
(주)대유에이텍,002880,2022/12,0,0
(주)대유플러스,000300,2022/12,0,0
(주)대창,012800,2022/12,0,0
(주)대한항공,003490,2022/12,15.57,15
(주)대현,016090,2022/12,19.15,18.1
(주)대호에이엘,069460,2022/12,0,0
(주)더메디팜,118000,2022/12,0,0
(주)더블유게임즈,192080,2022/12,0,108.57
(주)더존비즈온,012510,2022/12,31,45.72
(주)덕성,004830,2022/12,14.03,8.32
(주)덴티움,145720,2022/12,4.21,41.83
(주)도화엔지니어링,002150,2022/12,238.29,55.3
(주)동남합성,023450,2022/12,9.89,33.62
(주)동방,004140,2022/12,0,0
(주)동방아그로,007590,2022/12,45.93,45.55
(주)동서,026960,2022/12,42.91,144.5
(주)동성케미컬,102260,2022/12,71.78,19.58
(주)동아지질,028100,2022/12,0,98.58
(주)동양,001520,2022/12,0,6.52
(주)동양고속,084670,2022/12,0,0
(주)동원에프앤비,049770,2022/12,18.36,70
(주)두산,000150,2022/12,20.39,28.91
(주)두올,016740,2022/12,18.41,3.14
(주)드림텍,192650,2022/12,24.4,192.97
(주)디비아이엔씨,012030,2022/12,0,0
(주)디아이,003160,2022/12,23.91,15.01
(주)디아이씨,092200,2022/12,0,0
(주)디알비동일,004840,2022/12,0,7.74
(주)디엔오토모티브,007340,2022/12,45.51,344.93
(주)디지비금융지주,139130,2022/12,73.18,13
(주)락앤락,115390,2022/12,29.11,54.76
(주)마니커,027740,2022/12,0,0
(주)메리츠금융지주,138040,2022/12,11.77,17.8
(주)메타랩스,090370,2022/12,0,0
(주)모나리자,012690,2022/12,78.28,9.68
(주)모나미,005360,2022/12,395.55,7
(주)모토닉,009680,2022/12,48.63,52.43
(주)무학,033920,2022/12,0,106.88
(주)미래아이앤지,007120,2022/12,0,0
(주)바이오노트,377740,2022/12,33.35,98
(주)방림,003610,2022/09,29.41,7.74
(주)백산,035150,2022/12,13.72,24.89
(주)벽산,007210,2022/12,28.48,4.13
(주)보락,002760,2022/12,13.66,3.5
(주)보령,003850,2022/12,13.17,19.18
(주)비비안,002070,2022/12,0,0
(주)비상교육,100220,2022/12,0,18.85
(주)비와이씨,001460,2022/12,7.05,59.86
(주)비지에프,027410,2022/12,0,11
(주)비지에프리테일,282330,2022/12,37.14,409.79
(주)빙그레,005180,2022/12,43.52,26.66
(주)사조대림,003960,2022/12,4.63,5.61
(주)사조오양,006090,2022/12,13.26,2.4
(주)삼성출판사,068290,2022/12,12.16,40
(주)삼양사,145990,2022/12,22.55,23.52
(주)삼양패키징,272550,2022/12,97.36,15
(주)삼양홀딩스,000070,2022/12,34.24,61.13
(주)삼영,003720,2022/12,0,0
(주)삼원강재,023000,2022/12,32.06,20.86
(주)삼익악기,002450,2022/12,123.66,8.95
(주)삼일씨엔에스,004440,2022/12,0,0
(주)삼천리,004690,2022/12,50.88,50.66
(주)상상인증권,001290,2022/12,0,0
(주)서연,007860,2022/12,22.84,18.49
(주)서연이화,200880,2022/12,8.17,29.99
(주)서원,021050,2022/12,0,0
(주)서흥,008490,2022/12,19.39,73.1
(주)선앤엘,002820,2022/12,0,0
(주)선진,136490,2022/12,5.79,20
(주)성안,011300,2022/12,0,0
(주)세아베스틸지주,001430,2022/12,0,17.57
(주)세아제강,306200,2022/12,10.55,118.46
(주)세아제강지주,003030,2022/12,41.95,43.9
(주)세아특수강,019440,2022/12,73.08,19.47
(주)세아홀딩스,058650,2022/12,20.28,68.96
(주)세우글로벌,013000,2022/12,0,0
(주)세원정공,021820,2022/06,3.15,5
(주)세이브존아이앤씨,067830,2022/12,12.34,2.76
(주)세진중공업,075580,2022/12,63.57,26.37
(주)셀트리온,068270,2022/12,10.1,40.61
(주)솔루엠,248070,2022/12,0,0
