구분,코드값,코드설명
[쿼터] 지역,1, 서울/경기/인천
[쿼터] 지역,2, 대전/세종/충청/강원
[쿼터] 지역,3, 부산/경남/울산
[쿼터] 지역,4, 대구/경북
[쿼터] 지역,5, 광주/전라/제주.
[쿼터] 업종,1, 에너지/의료/정밀
[쿼터] 업종,2, 컴퓨터/반도체/전자부품
[쿼터] 업종,3, 통신기기/방송기기
[쿼터] 업종,4, 음식료/섬유/(비)금속
[쿼터] 업종,5, 기계/제조/자동차
[쿼터] 업종,6, 소프트웨어개발
[쿼터] 업종,7, 정보통신/방송서비스
[쿼터] 업종,8, 기타.
[쿼터] 종사자규모,1,1~9인
[쿼터] 종사자규모,2,10~29인
[쿼터] 종사자규모,3,30~49인
[쿼터] 종사자규모,4, 50~99인
[쿼터] 종사자규모,5, 100인 이상.
A1-4. 벤처확인 유형,1, 기술평가대출기업
A1-4. 벤처확인 유형,2, 기술평가보증기업
A1-4. 벤처확인 유형,3, 벤처투자기업
A1-4. 벤처확인 유형,4, 연구개발기업
A2-2. 기업 성장단계,1, 창업기
A2-2. 기업 성장단계,2, 초기성장기
A2-2. 기업 성장단계,3, 고도성장기
A2-2. 기업 성장단계,4, 성숙기
A2-2. 기업 성장단계,5, 쇠퇴기
A2-3. 제조 및 비제조,1, 자체 제조
A2-3. 제조 및 비제조,2, 일부 제조+ 일부 외주
A2-3. 제조 및 비제조,3, 전부 외주
A2-3. 제조 및 비제조,4, 비제조기업
A2-4. 수입 여부,1, 있음
A2-4. 수입 여부,2, 없음
A2-5. 거래소나 코스닥 상장여부 및 향후 계획 여부,1, 현재 상장기업
A2-5. 거래소나 코스닥 상장여부 및 향후 계획 여부,2, 현재 추진 중
A2-5. 거래소나 코스닥 상장여부 및 향후 계획 여부,3, 1년 이내 추진할 계획
A2-5. 거래소나 코스닥 상장여부 및 향후 계획 여부,4, 년 이내 추진할 계획
A2-5. 거래소나 코스닥 상장여부 및 향후 계획 여부,5, 추진계획 없음
"A2-6. 본사나 공장, 연구소 위치",1, 벤처촉진지구
"A2-6. 본사나 공장, 연구소 위치",2, 테크노파크
"A2-6. 본사나 공장, 연구소 위치",3, 창업보육센터
"A2-6. 본사나 공장, 연구소 위치",4, 벤처집적시설
"A2-6. 본사나 공장, 연구소 위치",5, 협동화단지
"A2-6. 본사나 공장, 연구소 위치",6, 신기술창업 집적지역
"A2-6. 본사나 공장, 연구소 위치",7, 아파트형 공장
"A2-6. 본사나 공장, 연구소 위치",8, 국가 및 지방산업단지
"A2-6. 본사나 공장, 연구소 위치",9, 기타 일반지역
B1-1. 성별,1, 남
B1-1. 성별,2, 여
B1-3.최종학력,1, 박사
B1-3.최종학력,2, 석사
B1-3.최종학력,3, 대졸
B1-3.최종학력,4, 전문학사
B1-3.최종학력,5, 기타
B1-3. 전공,1, 공학
B1-3. 전공,2, 자연과학
B1-3. 전공,3, 경영.경제학
B1-3. 전공,4, 인문사회
B1-3. 전공,5, 기타
B1-4. 이전 근무지,1, 교수
B1-4. 이전 근무지,2, 학생
B1-4. 이전 근무지,3, 공공부문 연구소
B1-4. 이전 근무지,4, 민간부문 연구소
B1-4. 이전 근무지,5, 일반기업체
B1-4. 이전 근무지,6, 일반중소기업
B1-4. 이전 근무지,7, 정부 및 산하단체
B1-4. 이전 근무지,8,기타
B1-5. 이전 직장에서의 업무경력분야,1, 기술개발
B1-5. 이전 직장에서의 업무경력분야,2, 영업/마케팅
B1-5. 이전 직장에서의 업무경력분야,3, 전략기획
B1-5. 이전 직장에서의 업무경력분야,4, 경리/자금
B1-5. 이전 직장에서의 업무경력분야,5, 경영관리
B1-5. 이전 직장에서의 업무경력분야,6, 생산제조
B1-5. 이전 직장에서의 업무경력분야,7, 연구개발
B1-5. 이전 직장에서의 업무경력분야,8, 기타
B2-1. 현 대표이사와 창업자 동일 여부,1, 동일함
B2-1. 현 대표이사와 창업자 동일 여부,2, 동일하지 않음
B2-2. 창업자 성별,1, 남
B2-2. 창업자 성별,2, 여
B2-3. 귀사 창업 당시 창업주의 연령,1, 20대(29세) 이하
B2-3. 귀사 창업 당시 창업주의 연령,2, 30대
B2-3. 귀사 창업 당시 창업주의 연령,3, 40대
B2-3. 귀사 창업 당시 창업주의 연령,4, 50대
B2-3. 귀사 창업 당시 창업주의 연령,5, 60대 이상
B2-6-1. 창업 방식,1, 대기업 등 타 기업의 분사 또는 계열사 형식으로 창업
B2-6-1. 창업 방식,2," 국가연구소, 대학교 등에서 창업보육(BI) 과정을 거쳐 창업"
B2-6-1. 창업 방식,3," 위에 해당하지 않는 방식으로, 창업자가 독자적으로 창업"
