구분,코드값,코드설명
문 A1_4,1,기술평가대출기업
문 A1_4,2,기술평가보증기업
문 A1_4,3,벤처투자기업
문 A1_4,4,연구개발기업
문 A2_2,1,창업기
문 A2_2,2,초기성장기
문 A2_2,3,고도성장기
문 A2_2,4,성숙기
문 A2_2,5,쇠퇴기
문 A2_3,1,자체 제조
문 A2_3,2,일부 제조 + 일부 외주
문 A2_3,3,전부 외주
문 A2_3,4,비제조기업
문 A2_4,1,현재 상장기업
문 A2_4,2,현재 추진 중
문 A2_4,3,1년 이내 추진할 계획
문 A2_4,4,2년 이내 추진할 계획
문 A2_4,5,추진계획 없음
문 A2_4B,1,코스피
문 A2_4B,2,코스닥
문 A2_4B,3,코넥스
문 A2_5A1 TO A2_5A9,1,벤처촉진지구
문 A2_5A1 TO A2_5A9,2,테크노파크
문 A2_5A1 TO A2_5A9,3,창업보육센터
문 A2_5A1 TO A2_5A9,4,벤처집적시설
문 A2_5A1 TO A2_5A9,5,협동화단지
문 A2_5A1 TO A2_5A9,6,신기술창업 집적지역
문 A2_5A1 TO A2_5A9,7,아파트형 공장
문 A2_5A1 TO A2_5A9,8,국가 및 지방산업단지
문 A2_5A1 TO A2_5A9,9,기타 일반지역
문 B1_1 B2_2,1,남성
문 B1_1 B2_2,2,여성
문 B1_3 B2_4,1,박사
문 B1_3 B2_4,2,석사
문 B1_3 B2_4,3,대졸
문 B1_3 B2_4,4,전문학사
문 B1_3 B2_4,5,고졸
문 B1_3 B2_4,6,중졸 이하
문 B1_3_1 B1_3_2A1 TO B1_3_2A5 B2_4_1 B2_4_2A1 TO B2_4_2A5,1,공학
문 B1_3_1 B1_3_2A1 TO B1_3_2A5 B2_4_1 B2_4_2A1 TO B2_4_2A5,2,자연과학
문 B1_3_1 B1_3_2A1 TO B1_3_2A5 B2_4_1 B2_4_2A1 TO B2_4_2A5,3,경영.경제학
문 B1_3_1 B1_3_2A1 TO B1_3_2A5 B2_4_1 B2_4_2A1 TO B2_4_2A5,4,인문사회학
문 B1_3_1 B1_3_2A1 TO B1_3_2A5 B2_4_1 B2_4_2A1 TO B2_4_2A5,5,기타
문 B1_4 B2_5,1,교수
문 B1_4 B2_5,2,학생
문 B1_4 B2_5,3,공공부문 연구소
문 B1_4 B2_5,4,민간부문 연구소
문 B1_4 B2_5,5,대기업
문 B1_4 B2_5,6,일반중소기업
문 B1_4 B2_5,7,벤처기업
문 B1_4 B2_5,8,정부 및 산하단체
문 B1_4 B2_5,9,기타
문 B1_4 B2_5,10,이전 근무지 없음
문 B1_5A1 TO B1_5A8,1,기술개발
문 B1_5A1 TO B1_5A8,2,영업/마케팅
문 B1_5A1 TO B1_5A8,3,전략기획
문 B1_5A1 TO B1_5A8,4,재무
문 B1_5A1 TO B1_5A8,5,경영관리
문 B1_5A1 TO B1_5A8,6,생산제조
문 B1_5A1 TO B1_5A8,7,연구개발
