벤처확인 유형,엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 최종학력,창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,ROE,주력제품 국내 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부,연구개발관련전담부서보유여부
3,0,3,6,0.0,40.0,0.056,-1739.26,360.366,1.0,46.667,1.0,2.0,1,1.0
1,0,4,6,0.0,20.0,182.613,3.063,20.487,1.0,20.0,1.0,8.0,0,3.0
2,0,2,6,0.0,13.333,47.157,8.065,5.656,10.0,13.333,1.0,4.0,0,1.0
2,0,2,6,26.627,23.669,55.927,-6.119,-13.836,30.0,20.0,3.0,3.0,0,1.0
2,0,2,6,28.182,22.727,69.228,-11.386,-16.891,30.0,20.0,3.0,2.0,0,1.0
2,0,2,6,32.812,33.203,64.658,11.307,14.313,30.0,36.0,3.0,5.0,0,1.0
2,0,2,6,25.728,42.718,45.337,-23.327,-28.58,30.0,21.845,3.0,8.0,0,1.0
3,1,5,10,85.294,10.294,82.865,0.374,1.04,16.0,93.0,3.0,3.0,0,1.0
3,0,4,7,12.676,23.944,65.278,-2.477,-5.254,1.0,23.944,1.0,7.0,0,1.0
3,1,3,2,83.117,3.896,32.79,-61.18,-22.877,20.0,84.158,3.0,3.0,1,2.0
2,0,3,6,0.0,0.0,56.604,8.0,11.538,0.1,100.0,1.0,4.0,0,4.0
1,0,3,6,65.0,10.0,59.732,1.646,2.39,1.0,15.0,3.0,8.0,0,1.0
1,0,3,5,50.0,25.0,30.119,5.911,5.43,0.1,50.0,3.0,8.0,0,1.0
2,0,2,3,52.727,34.545,93.771,4.652,14.805,2.0,70.0,1.0,6.0,0,1.0
1,0,5,6,60.0,10.0,107.383,11.654,27.55,15.0,10.0,3.0,7.0,0,1.0
1,0,3,7,0.0,75.0,204.868,2.911,22.64,2.0,41.667,1.0,6.0,0,1.0
3,0,3,6,0.0,0.0,130.523,1.559,5.185,1.0,100.0,1.0,3.0,0,1.0
1,0,3,6,0.0,10.0,844.633,0.515,28.365,1.0,16.667,3.0,2.0,0,3.0
1,0,3,10,0.0,10.0,204.868,2.911,22.64,5.0,13.333,3.0,7.0,0,1.0
3,0,3,5,0.0,16.949,30.241,-38.305,-23.542,2.0,64.407,1.0,2.0,1,1.0
2,0,1,6,25.0,50.0,8.559,144.796,86.957,0.1,50.0,1.0,7.0,0,2.0
