부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,ROE,주력제품 국내 시장점유율(퍼센트),학력별 인력구성비(대졸),엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 최종학력_1,창업 당시 창업자 최종학력_2,창업 당시 창업자 최종학력_3,창업 당시 창업자 최종학력_4,창업 당시 창업자 최종학력_5,창업 직전 근무지_1,창업 직전 근무지_2,창업 직전 근무지_3,창업 직전 근무지_4,창업 직전 근무지_5,창업 직전 근무지_6,창업 직전 근무지_7,창업 직전 근무지_8,창업 직전 근무지_9,창업 직전 근무지_10,창업 당시 목표시장_1,창업 당시 목표시장_2,창업 당시 목표시장_3,해외수출 및 진출과정 애로사항_1,해외수출 및 진출과정 애로사항_2,해외수출 및 진출과정 애로사항_3,해외수출 및 진출과정 애로사항_4,해외수출 및 진출과정 애로사항_5,해외수출 및 진출과정 애로사항_6,해외수출 및 진출과정 애로사항_7,해외수출 및 진출과정 애로사항_8,연구개발관련전담부서보유여부_1,연구개발관련전담부서보유여부_2,연구개발관련전담부서보유여부_3,연구개발관련전담부서보유여부_4,벤처확인 유형_1,벤처확인 유형_2,벤처확인 유형_3,벤처확인 유형_4,벤처캐피털(투자조합포함) 투자 경험여부
0.0,0.4,2.996697211573245e-05,0.0,0.7406434482758619,0.01,0.46667000000000003,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.0,0.2,0.09772069069589731,0.9099542130329126,0.6234437931034482,0.01,0.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0.0,0.13333,0.025234866143957053,0.9125665822512439,0.6183296551724137,0.1,0.13333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.26627,0.23669,0.02992790802708158,0.9051587763750321,0.6116082758620689,0.3,0.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.28182,0.22727,0.0370455990290701,0.9024080069482127,0.6105548275862068,0.3,0.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.32811999999999997,0.33203000000000005,0.03460008005462551,0.9142597651792387,0.6213148275862068,0.3,0.36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0.25728,0.42718000000000006,0.024260939550195752,0.8961716413272423,0.6065241379310344,0.3,0.21845,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
0.85294,0.10294,0.04434309186375302,0.9085498426154609,0.6167379310344827,0.16,0.93,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.12676,0.23944,0.03493185724590683,0.9070608652781034,0.6145675862068964,0.01,0.23944,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0.8311700000000001,0.03896,0.01754673242276548,0.876402346640818,0.6084906896551724,0.2,0.84158,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0.0,0.0,0.030290187314980704,0.9125326350302939,0.6203579310344827,0.001,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0.65,0.1,0.03196405675744519,0.9092141636162041,0.617203448275862,0.01,0.15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0.5,0.25,0.016117414877745456,0.911441623575457,0.618251724137931,0.001,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0.52727,0.34545000000000003,0.05017915968329192,0.9107840920189039,0.6214844827586207,0.02,0.7000000000000001,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0.6,0.1,0.05746327440542316,0.9144409911126175,0.6258793103448275,0.15,0.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0.0,0.75,0.10962988648939062,0.9098748287623835,0.6241862068965517,0.02,0.41667000000000004,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0.0,0.0,0.06984605538324547,0.909168726566625,0.6181672413793102,0.01,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,0.1,0.45198381355406153,0.9086234819716754,0.6261603448275861,0.01,0.16667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.0,0.1,0.10962988648939062,0.9098748287623835,0.6241862068965517,0.05,0.13333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
