엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 실무경험 년수(년),창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,이자보상배율,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부
0,4.0,6,0.0,40.0,0.056,-1739.26,-255.331,1.0,0.0,46.667,1.0,2.0,1
0,10.0,6,0.0,20.0,182.613,3.063,417.742,1.0,0.0,20.0,1.0,8.0,0
0,7.0,6,0.0,13.333,47.157,8.065,276.033,10.0,0.0,13.333,1.0,4.0,0
0,25.0,6,26.627,23.669,55.927,-6.119,14.706,30.0,5.0,20.0,3.0,3.0,0
0,25.0,6,28.182,22.727,69.228,-11.386,-102.653,30.0,0.0,20.0,3.0,2.0,0
0,20.0,6,32.812,33.203,64.658,11.307,145.631,30.0,7.0,36.0,3.0,5.0,0
0,20.0,6,25.728,42.718,45.337,-23.327,-217.814,30.0,7.0,21.845,3.0,8.0,0
1,20.0,10,85.294,10.294,82.865,0.374,52.433,16.0,2.0,93.0,3.0,3.0,0
0,12.0,7,12.676,23.944,65.278,-2.477,39.542,1.0,0.5,23.944,1.0,7.0,0
1,0.0,2,83.117,3.896,32.79,-61.18,-4053.543,20.0,1.0,84.158,3.0,3.0,1
0,6.0,6,0.0,0.0,56.604,8.0,147600.0,0.1,0.0,100.0,1.0,4.0,0
0,13.0,6,65.0,10.0,59.732,1.646,46.667,1.0,0.0,15.0,3.0,8.0,0
0,15.0,5,50.0,25.0,30.119,5.911,366.667,0.1,0.0,50.0,3.0,8.0,0
0,3.0,3,52.727,34.545,93.771,4.652,427.304,2.0,0.0,70.0,1.0,6.0,0
0,10.0,6,60.0,10.0,107.383,11.654,695.5,15.0,0.0,10.0,3.0,7.0,0
0,12.0,7,0.0,75.0,204.868,2.911,297.642,2.0,1.0,41.667,1.0,6.0,0
0,0.0,6,0.0,0.0,130.523,1.559,147600.0,1.0,0.0,100.0,1.0,3.0,0
0,12.0,6,0.0,10.0,844.633,0.515,385.366,1.0,0.0,16.667,3.0,2.0,0
0,3.0,10,0.0,10.0,204.868,2.911,297.642,5.0,0.01,13.333,3.0,7.0,0
0,5.0,5,0.0,16.949,30.241,-38.305,-5516.0,2.0,0.0,64.407,1.0,2.0,1
0,24.0,6,25.0,50.0,8.559,144.796,-1140.625,0.1,0.3,50.0,1.0,7.0,0
0,13.0,6,0.0,33.333,58.717,-27.265,-794.0,0.1,0.0,66.667,1.0,3.0,0
0,0.0,7,40.0,20.0,35.665,9.854,223.944,0.1,0.0,20.0,1.0,8.0,0
0,10.0,8,25.0,25.0,24.769,-16.822,-1460.0,0.1,0.0,37.5,3.0,8.0,0
1,10.0,3,37.5,12.5,0.667,-1500.0,-3600.0,0.1,0.0,50.0,3.0,3.0,0
0,15.0,7,25.0,25.0,32.946,2.647,166.667,0.1,0.0,50.0,3.0,8.0,0
0,10.0,6,66.667,5.556,89.561,5.098,276.289,1.0,0.0,22.222,3.0,8.0,0
0,5.0,6,44.444,44.444,46.157,-11.191,-553.731,2.0,0.0,44.0,1.0,3.0,0
0,5.0,6,50.0,33.333,46.5,4.573,236.441,2.0,0.0,44.0,1.0,3.0,0
0,20.0,10,91.667,1.25,116.138,1.535,95.266,38.0,0.0,6.0,1.0,4.0,0
0,10.0,9,72.917,8.333,270.689,2.432,408.879,0.01,0.0,20.0,1.0,5.0,0
0,15.0,6,78.049,4.878,244.58,0.385,129.412,10.0,0.0,6.0,1.0,1.0,0
