구분,코드값,코드설명
A14_벤처확인유형,1,기술평가대출기업(중진공)
A14_벤처확인유형,2,기술평가보증기업(기술보증기금)
A14_벤처확인유형,3,벤처투자기업(창투사등이 자본금 10%이상 투자)
A14_벤처확인유형,4,연구개발기업
A22_기업성장단계,1,창업기
A22_기업성장단계,2,초기성장기
A22_기업성장단계,3,고도성장기
A22_기업성장단계,4,성숙기
A22_기업성장단계,5,쇠퇴기
A23_제조및비제조,1,자체 제조
A23_제조및비제조,2,제조+외주
A23_제조및비제조,3,전부 외주(아웃소싱)
A23_제조및비제조,4,비제조기업
A24_스마티공장도입의향,1,예
A24_스마티공장도입의향,2,아니오
A25_상장거래소,1,코스피
A25_상장거래소,2,코스닥
A25_상장거래소,3,코넥스
A25_상장여부,1,현재 상장기업
A25_상장여부,2,현재 추진 중
A25_상장여부,3,추진계획 있음
A25_상장여부,4,추진계획 없음
B11_대표이사_창업자여부,1,예
B11_대표이사_창업자여부,2,아니오
B12_대표이사_성별,1,남
B12_대표이사_성별,2,여
B14_대표이사_최종학력,1,박사
B14_대표이사_최종학력,2,석사
B14_대표이사_최종학력,3,대졸
B14_대표이사_최종학력,4,전문학사
B14_대표이사_최종학력,5,고졸 이하
B141_대표이사_전공,1,공학(엔지니어)
B141_대표이사_전공,2,자연과학
B141_대표이사_전공,3,경영/경제학
B141_대표이사_전공,4,인문사회학
B141_대표이사_전공,5,기타
B15_대표이사_이전근무지,1,교수
B15_대표이사_이전근무지,2,학생
B15_대표이사_이전근무지,3,공공부문 연구소
B15_대표이사_이전근무지,4,민간부문 연구소
B15_대표이사_이전근무지,5,대기업
B15_대표이사_이전근무지,6,중소 및 중견기업
B15_대표이사_이전근무지,7,벤처기업
B15_대표이사_이전근무지,8,정부 및 산하단체
B15_대표이사_이전근무지,9,금융기관
B15_대표이사_이전근무지,10,기타
B16_대표이사_업무경력분야_0,1,인사/총무
B16_대표이사_업무경력분야_0,2,재무/회계
B16_대표이사_업무경력분야_0,3,전략/기획
B16_대표이사_업무경력분야_0,4,홍보/마케팅/영업
B16_대표이사_업무경력분야_0,5,연구/개발
B16_대표이사_업무경력분야_0,6,생산/품질
B16_대표이사_업무경력분야_0,7,유통/물류
B16_대표이사_업무경력분야_0,8,기타
B21_창업자_성별,1,남
B21_창업자_성별,2,여
B22_창업주_창업시연령,1,20대(29세이하)
B22_창업주_창업시연령,2,30대
B22_창업주_창업시연령,3,40대
B22_창업주_창업시연령,4,50대
B22_창업주_창업시연령,5,60대 이상
B23_창업주_창업시최종학력,1,박사
B23_창업주_창업시최종학력,2,석사
B23_창업주_창업시최종학력,3,대졸
B23_창업주_창업시최종학력,4,전문학사
B23_창업주_창업시최종학력,5,고졸 이하
B231_창업주_창업시전공,1,공학(엔지니어)
B231_창업주_창업시전공,2,자연과학
B231_창업주_창업시전공,3,경영/경제학
B231_창업주_창업시전공,4,인문사회학
B231_창업주_창업시전공,5,기타
B24_창업주_이전근무지,1,교수
B24_창업주_이전근무지,2,학생
B24_창업주_이전근무지,3,공공부문 연구소
B24_창업주_이전근무지,4,민간부문 연구소
B24_창업주_이전근무지,5,대기업
B24_창업주_이전근무지,6,중소 및 중견기업
B24_창업주_이전근무지,7,벤처기업
B24_창업주_이전근무지,8,정부 및 산하단체
B24_창업주_이전근무지,9,금융기관
B24_창업주_이전근무지,10,기타
B25_창업주_업무경력분야_0,1,인사/총무
B25_창업주_업무경력분야_0,2,재무/회계
B25_창업주_업무경력분야_0,3,전략/기획
B25_창업주_업무경력분야_0,4,홍보/마케팅/영업
B25_창업주_업무경력분야_0,5,연구/개발
B25_창업주_업무경력분야_0,6,생산/품질
B25_창업주_업무경력분야_0,7,유통/물류
B25_창업주_업무경력분야_0,8,기타
B261_창업방식형태,1,대기업 등 타 기업의 분사 또는 계열사 형식으로 창업
B261_창업방식형태,2,"국가연구소, 대학교 등에서 창업보육(BI) 과정을 거쳐 창업"
B261_창업방식형태,3,"위에 해당하지 않는 방식으로, 창업자가 독자적으로 창업"
B262_창업형태_단독공동,1,창업자 단독창업
B262_창업형태_단독공동,2,공동/팀 창업
B2631_창업방식_창업자주요역할_0,1,기술개발
B2631_창업방식_창업자주요역할_0,2,영업마케팅
B2631_창업방식_창업자주요역할_0,3,관리
B2631_창업방식_창업자주요역할_0,4,재무
B2631_창업방식_창업자주요역할_0,5,기타
B2632_창업방식_공동창업자주요역할_0,1,기술개발
B2632_창업방식_공동창업자주요역할_0,2,영업마케팅
B2632_창업방식_공동창업자주요역할_0,3,관리
B2632_창업방식_공동창업자주요역할_0,4,재무
B2632_창업방식_공동창업자주요역할_0,5,기타
B27_창업시목표시장,1,국내
B27_창업시목표시장,2,글로벌
B27_창업시목표시장,3,국내 + 글로벌
B29_창업주과거창업경험여부,1,있음
B29_창업주과거창업경험여부,2,없음
C4_예상신규채용_신규채용의사,1,있다
C4_예상신규채용_신규채용의사,2,없다
C42_신규채용계획없는주요이유,1,이미 상반기에 채용
C42_신규채용계획없는주요이유,2,이미 규모 대비 인력 과잉상태이기 때문에
C42_신규채용계획없는주요이유,3,매출 등 경영실적이 크게 개선되지 않아서
C42_신규채용계획없는주요이유,4,경기가 크게 개선될 것 같지 않아서
C42_신규채용계획없는주요이유,5,기타
C51_구인하기어려운직무_0,1,인사/총무
C51_구인하기어려운직무_0,2,재무/회계
C51_구인하기어려운직무_0,3,전략/기획
C51_구인하기어려운직무_0,4,홍보/마케팅/영업
C51_구인하기어려운직무_0,5,연구/개발
C51_구인하기어려운직무_0,6,생산/품질
C51_구인하기어려운직무_0,7,유통/물류
C51_구인하기어려운직무_0,8,기타
C52_구인하기어려운직급_0,1,사원/대리급
C52_구인하기어려운직급_0,2,중간 관리자급
C52_구인하기어려운직급_0,3,임원급
D5_개인사업자_향후법인전환의사여부,1,있다
D5_개인사업자_향후법인전환의사여부,2,없다
D51_RampD_경험여부,1,경험있음
D51_RampD_경험여부,2,없음
D52_융자_경험여부,1,경험있음
D52_융자_경험여부,2,없음
D53_보증서지원_경험여부,1,경험있음
D53_보증서지원_경험여부,2,없음
D54_기타지원_경험여부,1,경험있음
D54_기타지원_경험여부,2,없음
D8_스톡옵션상황,1,현재 활용하고 있음
D8_스톡옵션상황,2,과거에 활용했으나 현재 미활용
D8_스톡옵션상황,3,과거와 현재 미활용이나 미래에 활용 계획 있음
D8_스톡옵션상황,4,"과거와 현재, 미래 모두 미활용이며 향후에도 계획 없음"
D81_스톡옵션_실시주요목적,1,우수인력 유입
D81_스톡옵션_실시주요목적,2,핵심인력 이탈방지
D81_스톡옵션_실시주요목적,3,사기진작 및 인센티브 효과
D81_스톡옵션_실시주요목적,4,기업 경영성과 개선
D82_스톡옵션_활용안하는이유,1,제도 활용에 관한 인식부족
D82_스톡옵션_활용안하는이유,2,"비상장기업의 경우, 성과보상 방식으로서의 장점이 없음"
D82_스톡옵션_활용안하는이유,3,불합리한 회계/세무 처리
D82_스톡옵션_활용안하는이유,4,복잡한 제도 및 행정 절차
D82_스톡옵션_활용안하는이유,5,기타
E1_개인사업자_4차산업혁명과관계여부,1,예
E1_개인사업자_4차산업혁명과관계여부,2,아니오
E1_주력기술_4차산업혁명관계여부,1,예
E1_주력기술_4차산업혁명관계여부,2,아니오
E11_분야별주력제품관련성_0,1,드론
E11_분야별주력제품관련성_0,2,자율주행차
E11_분야별주력제품관련성_0,3,스마트 팜
E11_분야별주력제품관련성_0,4,에너지 신산업
E11_분야별주력제품관련성_0,5,스마트 시티
E11_분야별주력제품관련성_0,6,스마트 공장
E11_분야별주력제품관련성_0,7,지능형 로봇
E11_분야별주력제품관련성_0,8,3D프린팅
E11_분야별주력제품관련성_0,9,지능형 반도체
E11_분야별주력제품관련성_0,10,인공지능(AI)
E11_분야별주력제품관련성_0,11,사물인터넷(IoT)
E11_분야별주력제품관련성_0,12,클라우드
E11_분야별주력제품관련성_0,13,빅데이터
E11_분야별주력제품관련성_0,14,5G
E11_분야별주력제품관련성_0,15,핀테크
E11_분야별주력제품관련성_0,16,블록체인
E11_분야별주력제품관련성_0,17,O2O(공유경제)
E11_분야별주력제품관련성_0,18,스마트 헬스케어
E11_분야별주력제품관련성_0,19,AR/VR(증강/가상현실)
E11_분야별주력제품관련성_0,20,신소재(첨단소재)
E3_획득중인해외특허_0,1,해외특허
E3_획득중인해외특허_0,2,"해외유명규격(UL, CE, CCC 등)"
E3_획득중인해외특허_0,3,해외특허/국제규격 없음
E4_제품및서비스구조,1,하나의 대표 제품 또는 서비스
E4_제품및서비스구조,2,두 세 개 정도의 제품 또는 서비스
E4_제품및서비스구조,3,4개 이상 복수의 제품 및 서비스
E5_세계유일의기술보유여부,1,예
E5_세계유일의기술보유여부,2,아니오
E61_기술력수준비교_세계,1,세계 최고수준(100% 수준)
E61_기술력수준비교_세계,2,세계 최고기술과 동등한 수준(90%~99% 수준)
E61_기술력수준비교_세계,3,세계 최고기술에 근접한 수준(80%~89%)
E61_기술력수준비교_세계,4,세계 최고기술보다 다소 뒤처진 수준(70%~79%)
E61_기술력수준비교_세계,5,세계 최고기술보다 낮은 수준(60%~69%)
E62_기술력수준비교_국내,1,국내 최고수준(100% 수준)
E62_기술력수준비교_국내,2,국내 최고기술과 동등한 수준(90%~99% 수준)
E62_기술력수준비교_국내,3,국내 최고기술에 근접한 수준(80%~89%)
E62_기술력수준비교_국내,4,국내 최고기술보다 다소 뒤처진 수준(70%~79%)
E62_기술력수준비교_국내,5,국내 최고기술보다 낮은 수준(60%~69%)
E7_연구개발관련전담부서보유여부,1,해외현지연구소 보유
E7_연구개발관련전담부서보유여부,2,기업부설연구소 보유
E7_연구개발관련전담부서보유여부,3,"부설연구소는 없지만, 연구개발 전담부서 보유"
E7_연구개발관련전담부서보유여부,4,"부설연구소나 전담부서는 없지만, 연구개발 인력 보유"
E7_연구개발관련전담부서보유여부,5,"부설연구소나 전담부서, 연구개발 인력이 없음"
F11_개발역량,1,매우 낮음
F11_개발역량,2,낮음
F11_개발역량,3,보통
F11_개발역량,4,높음
F11_개발역량,5,매우 높음
F12_제조역량,1,매우 낮음
F12_제조역량,2,낮음
F12_제조역량,3,보통
F12_제조역량,4,높음
F12_제조역량,5,매우 높음
F13_마케팅역량,1,매우 낮음
F13_마케팅역량,2,낮음
F13_마케팅역량,3,보통
F13_마케팅역량,4,높음
F13_마케팅역량,5,매우 높음
F21_경쟁전략초점정도_원가우위수준,1,매우 낮음
F21_경쟁전략초점정도_원가우위수준,2,낮음
F21_경쟁전략초점정도_원가우위수준,3,보통
F21_경쟁전략초점정도_원가우위수준,4,높음
F21_경쟁전략초점정도_원가우위수준,5,매우 높음
F22_경쟁전략초점정도_고부가가치화수준,1,매우 낮음
F22_경쟁전략초점정도_고부가가치화수준,2,낮음
F22_경쟁전략초점정도_고부가가치화수준,3,보통
F22_경쟁전략초점정도_고부가가치화수준,4,높음
F22_경쟁전략초점정도_고부가가치화수준,5,매우 높음
F31_비즈니스모델혁신정도_명확한정리,1,매우 낮음
F31_비즈니스모델혁신정도_명확한정리,2,낮음
F31_비즈니스모델혁신정도_명확한정리,3,보통
