순번,개인법인구분_공통,가중치_공통,(쿼터)업종_공통,(쿼터)종사자_공통,(쿼터)지역_공통,(쿼터)기업성장단계_공통,(쿼터)업력_공통,업력_공통,지역_공통,업종_공통,제조업여부_공통,A14_벤처확인유형_공통,A15_회사주소_시도_공통,A15_회사주소_구군_공통,A16_KSIC코드_공통,A161_1단계업종분류_대_공통,A162_2단계업종분류_중_공통,A163_3단계업종분류_소_공통,A21_창업년도_공통,A22_기업성장단계_공통,A23_제조및비제조_공통,A23_2_아웃소싱_공통,A24_스마티공장도입의향_법인,A25_상장여부_법인,A25_상장년도_법인,A25_상장거래소_법인,B11_대표이사_창업자여부_법인,B12_대표이사_성별_법인,B13_대표이사_연령_법인,B14_대표이사_최종학력_법인,B141_대표이사_전공_법인,B141_대표이사_전공_기타_법인,B15_대표이사_이전근무지_법인,B15_대표이사_이전근무지_기타_법인,B16_대표이사_업무경력분야2_0_법인,B16_대표이사_업무경력분야2_1_법인,B16_대표이사_업무경력분야2_2_법인,B16_대표이사_업무경력분야2_3_법인,B16_대표이사_업무경력분야2_4_법인,B16_대표이사_업무경력분야2_5_법인,B16_대표이사_업무경력분야2_6_법인,B16_대표이사_업무경력분야2_7_법인,B16_대표이사_업무경력분야2_기타_법인,B21_창업자_성별_공통,B22_창업주_창업시연령_공통,B23_창업주_창업시최종학력_공통,B231_창업주_창업시전공_공통,B231_창업주_창업시전공_기타_공통,B24_창업주_이전근무지_공통,B24_창업주_이전근무지_기타_공통,B25_창업주_업무경력분야_0_공통,B25_창업주_업무경력분야_1_공통,B25_창업주_업무경력분야_2_공통,B25_창업주_업무경력분야_3_공통,B25_창업주_업무경력분야_4_공통,B25_창업주_업무경력분야_5_공통,B25_창업주_업무경력분야_6_공통,B25_창업주_업무경력분야_7_공통,B25_창업주_업무경력분야_기타_공통,B261_창업방식형태_공통,B262_창업형태_단독공동_법인,B262_2_멤버수_법인,B2631_창업방식_창업자주요역할_0_공통,B2631_창업방식_창업자주요역할_1_공통,B2631_창업방식_창업자주요역할_2_공통,B2631_창업방식_창업자주요역할_3_공통,B2631_창업방식_창업자주요역할_4_공통,B2631_창업방식_창업자주요역할_기타_공통,B2632_창업방식_공동창업자주요역할_0_법인,B2632_창업방식_공동창업자주요역할_1_법인,B2632_창업방식_공동창업자주요역할_2_법인,B2632_창업방식_공동창업자주요역할_3_법인,B2632_창업방식_공동창업자주요역할_4_법인,B2632_창업방식_공동창업자주요역할_기타_법인,B27_창업시목표시장_법인,B28_창업시관련분야실무경험년수_공통,B29_창업주과거창업경험여부_공통,B291_창업경험및결과_성공_공통,B291_창업경험및결과_실패_공통,B291_창업경험및결과_합계_공통,C11_2017년기준_정규직_남_공통,C11_2017년기준_정규직_여_공통,C11_2017년기준_정규직_합계_공통,C11_2018년기준_정규직_남_공통,C11_2018년기준_정규직_여_공통,C11_2018년기준_정규직_합계_공통,C12_2017년기준_비정규직_남_공통,C12_2017년기준_비정규직_여_공통,C12_2017년기준_비정규직_합계_공통,C12_2018년기준_비정규직_남_공통,C12_2018년기준_비정규직_여_공통,C12_2018년기준_비정규직_합계_공통,C13_2017년기준_총종사자_남_공통,C13_2017년기준_총종사자_여_공통,C13_2017년기준_총종사자_합계_공통,C13_2018년기준_총종사자_남_공통,C13_2018년기준_총종사자_여_공통,C13_2018년기준_총종사자_합계_공통,C2_총종사자수_관리_공통,C2_총종사자수_생산_공통,C2_총종사자수_영업_공통,C2_총종사자수_연구개발(RnD)_공통,C2_총종사자수_기타_공통,C2_총종사자수_합계_공통,C3_학력별인력구성비_고졸이하_법인,C3_학력별인력구성비_전문대졸_법인,C3_학력별인력구성비_대졸_법인,C3_학력별인력구성비_석사_법인,C3_학력별인력구성비_박사_법인,C4_예상신규채용_신규채용의사_공통,C4_예상신규채용_2019년하반기_채용인원_공통,C4_예상신규채용_2020년_채용인원_공통,C4_예상신규채용_채용인원합계_공통,C41_신규채용희망학력_고졸이하_법인,C41_신규채용희망학력_전문대졸_법인,C41_신규채용희망학력_대졸_법인,C41_신규채용희망학력_석사_법인,C41_신규채용희망학력_박사_법인,C41_신규채용희망학력_합계_법인,C42_신규채용계획없는주요이유_법인,C42_신규채용계획없는주요이유_기타_사유_법인,C51_구인하기어려운직무_1순위_법인,C51_구인하기어려운직무_2순위_법인,C51_구인하기어려운직무_기타_법인,C52_구인하기어려운직급_1순위_법인,C52_구인하기어려운직급_2순위_법인,D1_지분_창업자_법인,D1_지분_임직원_법인,D1_지분_가족_법인,D1_지분_벤처캐피털_법인,D1_지분_엔젤및엑셀러레이터_법인,D1_지분_개인투자자_법인,D1_지분_합계_법인,D21_재무상태표_2017년_자산총계_공통,D21_재무상태표_2018년_자산총계_공통,D22_재무상태표_2017년_부채총계_공통,D22_재무상태표_2018년_부채총계_공통,D23_재무상태표_2017년_자본총계_공통,D23_재무상태표_2018년_자본총계_공통,D31_2017년_매출액_공통,D31_2018년_매출액_공통,D32_2017년_영업이익_공통,D32_2018년_영업이익_공통,D33_2017년_금융비용_공통,D33_2018년_금융비용_공통,D34_2017년_당기순이익_공통,D34_2018년_당기순이익_공통,D4_매출_대기업(B2B)_공통,D4_매출_12차벤더(B2B)_공통,D4_매출_중소기업(B2B)_공통,D4_매출(B2C)_공통,D4_매출(B2G)_공통,D4_매출_글로벌_공통,D4_매출_합계_공통,D51_연구개발(RnD)_경험여부_공통,D51_연구개발(RnD)_2018년총금액_공통,D52_융자_경험여부_공통,D52_융자_2018년총금액_공통,D53_보증서지원_경험여부_공통,D53_보증서지원_2018년총금액_공통,D54_기타지원_경험여부_공통,D54_기타지원_2018년총금액_공통,D55_합계_2018년총금액_공통,D5_개인사업자_향후법인전환의사여부_개인,D6_신규자금조달규모_법인,D6_신규자금조달_기업공개(IPO)_법인,D6_신규자금조달_캐피탈_법인,D6_신규자금조달_회사채_법인,D6_신규자금조달_정부지원금_법인,D6_신규자금조달_은행_법인,D6_신규자금조달_기타_법인,D6_신규자금조달_합계_법인,D7_투자액_국내설비_법인,D7_투자액_연구개발(RnD)_법인,D7_투자액_해외_법인,D7_투자액_기타_법인,D7_투자액_합계_법인,D8_스톡옵션상황_법인,D81_스톡옵션_실시주요목적_법인,D82_스톡옵션_활용안하는이유_법인,E1_공통_4차산업혁명과관계여부_공통,E11_분야별주력제품관련성_0_공통,E11_분야별주력제품관련성_1_공통,E11_분야별주력제품관련성_2_공통,E21_등록보유_특허권_공통,E21_등록보유_실용신안권_공통,E21_등록보유_디자인권_공통,E21_등록보유_상표권_공통,E21_등록보유_해외산업재산권_공통,E21_등록보유_합계_공통,E22_출원중_특허권_공통,E22_출원중_실용신안권_공통,E22_출원중_디자인권_공통,E22_출원중_상표권_공통,E22_출원중_해외산업재산권_공통,E22_출원중_합계_공통,E3_획득중인해외특허_0_법인,E3_획득중인해외특허_1_법인,E3_획득중인해외특허_2_법인,E4_제품및서비스구조_법인,E5_세계유일의기술보유여부_법인,E61_기술력수준비교_세계_법인,E62_기술력수준비교_국내_법인,E7_연구개발관련전담부서보유여부_법인,F11_개발역량_법인,F12_제조역량_법인,F13_마케팅역량_법인,F21_경쟁전략초점정도_원가우위수준_법인,F22_경쟁전략초점정도_고부가가치화수준_법인,F31_비즈니스모델혁신정도_명확한정리_법인,F32_비즈니스모델혁신정도_혁신_법인,F4_장기적성장전망성_법인,G1_자체브랜드보유여부_공통,G11_자체브랜드보유개수_공통,G2_영업및마케팅방식_0_공통,G2_영업및마케팅방식_기타_공통,G31_국내시장점유율_법인,G32_글로벌시장점유율_법인,G4_글로벌사업방식_법인,G41_해외지사설치여부_법인,G51_글로벌시장진출지역_0_법인,G51_글로벌시장진출지역_1_법인,G51_글로벌시장진출지역_2_법인,G51_글로벌시장진출지역_3_법인,G51_글로벌시장진출지역_4_법인,G51_글로벌시장진출지역_5_법인,G51_글로벌시장진출지역_6_법인,G51_글로벌시장진출지역_기타_법인,G52_직-간접수출지역_0_법인,G52_직-간접수출지역_1_법인,G52_직-간접수출지역_2_법인,G52_직-간접수출지역_3_법인,G52_직-간접수출지역_4_법인,G52_직-간접수출지역_5_법인,G52_직-간접수출지역_6_법인,G52_직-간접수출지역_기타_법인,G6_해외수출시애로사항_1순위_법인,G6_해외수출시애로사항_2순위_법인,G6_해외수출시애로사항_기타_법인,H1_선호협력기관_메인파트너_1순위_공통,H1_선호협력기관_메인파트너_2순위_공통,H11_협력활동유형_공통,H11_협렵활동도움정도_공통,H11_협력활동유형_기타_공통,H12_협력활동유형_공통,H12_협렵활동도움정도_공통,H12_협력활동유형_기타_공통,H13_협력활동유형_공통,H13_협렵활동도움정도_공통,H13_협력활동유형_기타_공통,H14_협력활동유형_공통,H14_협렵활동도움정도_공통,H14_협력활동유형_기타_공통,H15_협력활동유형_공통,H15_협렵활동도움정도_공통,H15_협력활동유형_기타_공통,H21_협력의사_공통,H21_협력희망분야_공통,H21_협력희망분야_기타_공통,H22_협력의사_공통,H22_협력희망분야_공통,H22_협력희망분야_기타_공통,H23_협력의사_공통,H23_협력희망분야_공통,H23_협력희망분야_기타_공통,H24_협력의사_공통,H24_협력희망분야_공통,H24_협력희망분야_기타_공통,H25_협력의사_공통,H25_협력희망분야_공통,H25_협력희망분야_기타_공통,I1_크라우드펀딩받은경험_법인,I2_엔젤투자자투자받은경험_법인,I3_밴처캐피탈투자받은경험_법인,I31_투자한벤처캐피탈역할_법인,I321_도움여부_법인,I321_도움정도_법인,I322_도움여부_법인,I322_도움정도_법인,I323_도움여부_법인,I323_도움정도_법인,I324_도움여부_법인,I324_도움정도_법인,I325_도움여부_법인,I325_도움정도_법인,I326_도움여부_법인,I326_도움정도_법인,I327_도움여부_법인,I327_도움정도_법인,I4_인수합병의향_법인,I5_인수합병응할의향_법인,I6_인수합병(MnA)환경개선을위해필요한것_1순위_법인,I6_인수합병(MnA)환경개선을위해필요한것_2순위_법인,J11_납품단가_법인,J11_단가변동폭_법인,J12_납품단가_법인,J12_단가변동폭_법인,J13_납품단가_법인,J13_단가변동폭_법인,J14_납품단가_법인,J14_단가변동폭_법인,J21_현재이익률_법인,J21_희망적정이익률_법인,J22_현재이익률_법인,J22_희망적정이익률_법인,J23_현재이익률_법인,J23_희망적정이익률_법인,J24_현재이익률_법인,J24_희망적정이익률_법인,J31_불공정거래경험여부_법인,J31_불공정거래심각성정도_법인,J32_불공정거래경험여부_법인,J32_불공정거래심각성정도_법인,J33_불공정거래경험여부_법인,J33_불공정거래심각성정도_법인,J34_불공정거래경험여부_법인,J34_불공정거래심각성정도_법인,J4_기업간거래시주요애로사항_1순위_법인,J4_기업간거래시주요애로사항_2순위_법인,K11_기술개발촉진효과_공통,K12_기업이미지제고등광고효과_공통,K13_세제혜택효과_공통,K14_우수인력확보에유리_공통,K15_입지선정시유리_공통,K16_자금조달및투자유인효과_공통,K17_정부지원제도참여에유리_공통,K18_창업관련규제완화효과_공통,K21_인수합병(MnA)활성화를위한제도개선_공통,K22_벤처관련규제완화_공통,K23_창업및기업가적능력개발을위한교육_공통,K24_기업가정신을고취하는사회분위기_공통,K25_벤처투자활성화_법인_공통,K31_실천하고있는사회적책임_0_법인,K31_실천하고있는사회적책임_1_법인,K31_실천하고있는사회적책임_기타_법인,K32_향후사회적책임실천할계획여부_법인,K41_신기술개발애로_공통,K42_개발된기술의사업화애로_공통,K43_국내판로개척애로_공통,K44_해외시장개척애로_공통,K45_필요인력의확보및유지관리애로_공통,K46_자금조달_운용등자금관리애로_공통,K47_기술유출_디자인및상표도용애로_공통,K48_업계내의과당경쟁및덤핑애로_공통,K49_법률회계세무관련지식부족애로_공통,K410_조직관리애로_공통,K411_환율변동애로_공통,K412_특허분쟁애로_공통,K413_각종규제애로_공통,K414_산-학-연간협력활동애로_공통,K415_불공정한시장질서애로_공통
1,개인,9.22,5,2,1,4,3,17,31,29180,1,2,경기,남양주시,C29180,C,29,291,2002,4,1,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,,5,,4,,,,,,,,,3,,,1,2,,,,,,,,,,,,0,1,1,0,1,7,4,11,7,3,10,0,0,0,0,0,0,7,4,11,7,3,10,2,2,0,5,1,10,,,,,,1,2,1,3,,,,,,,,,,,,,,,,,,,,,889,817,646,610,242,207,1798,2102,166,237,29,25,126,209,0,20,30,30,15,5,100,2,,2,,1,290,1,100,390,2,,,,,,,,,,,,,,,,,2,,,,2,0,10,2,0,14,1,0,8,0,0,9,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,2,1,1,1,1,1,3,1,1,,,,,5,5,4,5,5,5,5,5,3,3,3,5,4,5,4
2,개인,3.769,9,2,1,4,3,13,11,73202,2,2,서울,서초구,M73202,M,73,732,2006,4,2,70,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,,6,,3,4,,,,,,,,3,,,2,,,,,,,,,,,,,5,2,,,,7,5,12,8,3,11,0,0,0,0,0,0,7,5,12,8,3,11,10,1,0,0,0,11,,,,,,1,2,2,4,,,,,,,,,,,,,,,,,,,,,1678,1310,378,15,1300,1295,1941,1272,233,118,1,0,224,117,100,0,0,0,0,0,100,2,,2,,2,,2,,,2,,,,,,,,,,,,,,,,,1,5,,,0,1,3,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,3,4,,4,4,,,,,2,,,2,,,2,,,1,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,2,3,2,2,3,3,4,3,4,,,,,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3
3,개인,44.759,5,1,1,2,2,5,11,25921,1,1,서울,종로구,C25921,C,25,259,2014,2,1,,,,,,,,,,,,,,,,,,,,,,,1,5,5,,,6,,6,,,,,,,,,3,,,1,,,,,,,,,,,,,20,1,1,1,2,1,0,1,2,1,3,0,0,0,0,0,0,1,0,1,2,1,3,2,1,0,0,0,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,141,141,113,132,28,9,120,155,-34,-75,0,2,8,9,0,0,70,30,0,0,100,1,100,1,80,2,,2,,180,2,,,,,,,,,,,,,,,,,2,,,,1,0,0,1,0,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,,,,,3,4,,,,,,,,1,3,,2,,,1,11,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,2,3,4,4,2,3,3,4,3,,,,,3,5,4,4,3,5,3,4,4,4,3,3,4,3,3
4,법인,1.831,9,5,2,4,4,26,32,46592,2,2,강원,원주시,G46592,G,46,465,1993,4,4,,2,1,2011,2,1,,,,,,,,,,,,,,,,,1,5,3,2,,8,,5,,,,,,,,,3,1,,3,,,,,,,,,,,,3,5,2,,,,90,32,122,90,32,122,0,0,0,0,0,0,90,32,122,90,32,122,8,10,15,89,0,122,0,10,85,5,0,2,,,,,,,,,,2,,1,7,,1,2,9,0,13,0,0,78,100,32126,32598,8587,6698,23540,25900,31664,33985,854,1080,94,24,525,1251,0,0,100,0,0,0,100,2,,2,,2,,1,701,701,,701,0,0,0,100,0,0,100,0,699,0,0,699,3,1,,2,,,,4,0,0,0,1,5,0,0,0,0,0,0,2,,,2,2,4,3,2,3,3,3,3,3,3,3,4,1,1,1,,7,0,4,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,5,2,,,,,2,,,,,,,,3,5,,,,,,,,,,,5,9,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
5,법인,3.294,7,5,1,3,4,23,11,58221,2,4,서울,구로구,J58221,J,58,582,1996,3,4,,2,4,,,1,,,,,,,,,,,,,,,,,1,2,3,5,스페인어과,5,,3,,,,,,,,,3,1,,3,,,,,,,,,,,,1,0,2,,,,51,50,101,51,49,100,0,0,0,0,0,0,51,50,101,51,49,100,12,14,63,0,11,100,0,1,97,2,0,1,3,3,6,0,0,6,0,0,6,,,8,4,프로그래머,2,1,65,0,0,8,0,27,100,19370,18309,2001,5058,17369,13252,11496,11771,2936,3401,24,24,2965,2792,0,0,100,0,0,0,100,2,,2,,2,,2,,,,213,0,0,0,0,100,0,100,0,576,0,0,576,1,2,,1,10,,,4,0,0,0,0,4,0,0,0,0,0,0,3,,,2,2,2,2,2,4,3,3,3,3,4,5,3,1,1,3,,50,0,4,,,,,,,,,,,,,,,,,,4,8,,4,,,,,,,,,,,6,5,,,,,2,,,2,,,2,,,1,1,,2,,,2,2,1,1,,,,,,,,,,,,,,,2,2,3,4,,,,,2,,,,,,,,20,22,,,,,,,,,,,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,4,5,,1,2,2,2,3,3,3,2,3,2,3,2,2,2,2,2
6,법인,34.316,7,2,1,4,3,19,11,47912,2,2,서울,용산구,G47912,G,47,479,2000,4,4,,2,3,,,1,,,,,,,,,,,,,,,,,2,3,3,4,,10,모름,7,,,,,,,,,3,1,,2,,,,,,,,,,,,1,0,2,,,,2,14,16,2,14,16,0,0,0,0,0,0,2,14,16,2,14,16,3,2,0,9,2,16,0,0,100,0,0,2,,,,,,,,,,2,,7,4,,1,2,0,0,95,0,0,6,100,3330,3285,2225,2176,1105,1109,3367,3516,65,60,58,3,22,4,0,0,0,0,100,0,100,2,,2,,2,,2,,,,400,0,0,0,0,100,0,100,0,93,0,0,93,4,,2,1,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,3,,,3,2,3,3,2,3,3,3,3,4,3,3,3,1,4,3,,3,0,4,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,3,3,3,3,3,3,4,3,3,3,4,3,7,,,2,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4
7,법인,5.889,2,3,1,3,3,19,11,21300,1,4,서울,금천구,C21300,C,21,213,2000,3,2,10,1,4,,,1,,,,,,,,,,,,,,,,,1,3,1,2,,1,,8,,,,,,,,,3,1,,1,,,,,,,,,,,,1,10,2,,,,19,30,49,17,30,47,0,0,0,0,0,0,19,30,49,17,30,47,13,5,5,17,7,47,2,42,14,40,2,1,2,2,4,0,0,1,2,1,4,,,5,4,,2,1,0,65,18,0,0,17,100,8868,10091,1991,2272,6878,7818,9392,11169,748,863,17,11,1160,1185,5,15,5,0,65,10,100,1,500,2,,2,,2,,500,,500,0,0,0,100,0,0,100,100,1548,0,0,1648,4,,2,1,6,,,14,1,0,1,0,16,1,0,0,0,0,1,3,,,3,2,3,2,2,5,5,5,3,3,4,4,4,1,3,1,전시참여,60,3,1,2,,,,,,,,,6,5,7,,,,,중동,7,5,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,1,11,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,4,2,,2,,2,,2,,5,5,5,5,5,5,5,5,,,,,,,,,2,1,5,4,3,3,4,4,5,3,4,4,4,4,4,5,,,2,5,4,4,5,4,4,4,3,5,5,4,4,5,3,2
8,법인,3.294,7,5,1,3,3,19,11,58222,2,3,서울,강서구,J58222,J,58,582,2000,3,1,,2,1,2018,2,2,1,57,1,3,,6,,3,,,,,,,,,1,2,1,5,전산학,1,,8,,,,,,,,,3,1,,1,2,3,,,,,,,,,,1,0,2,,,,81,19,100,85,18,103,0,0,0,0,0,0,81,19,100,85,18,103,10,21,38,0,34,103,1,1,96,2,0,1,3,5,8,0,0,8,0,0,8,,,5,3,,1,2,21,1,0,9,10,59,100,29387,36932,13350,12024,16037,24908,16311,18023,2477,1533,34,298,2045,1132,35,30,25,0,5,5,100,2,,2,,2,,2,,,,1710,0,0,0,0,70,30,100,0,1185,0,0,1185,1,1,,2,,,,4,0,0,0,0,4,0,0,0,0,0,0,3,,,1,2,3,3,3,4,4,2,3,3,3,3,3,1,1,3,,10,0,1,2,,,,,,,,,1,,,,,,,,3,8,,5,,,,,,,,,,,,,,12,4,,2,,,2,,,2,,,2,,,1,12,,2,1,1,1,,,,,,,,,,,,,,,2,2,3,4,2,,2,,2,,2,,15,20,15,20,15,20,15,20,,,,,,,,,7,3,3,3,3,4,3,3,4,3,3,3,2,2,2,4,5,,1,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3
9,법인,4.674,9,4,1,3,3,19,11,70129,2,3,서울,강서구,M70129,M,70,701,2000,3,1,,2,1,2015,2,1,,,,,,,,,,,,,,,,,1,2,1,1,,5,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,3,5,2,,,,44,17,61,44,17,61,0,0,0,0,0,0,44,17,61,44,17,61,26,6,22,0,7,61,10,20,50,20,0,1,3,2,5,0,0,5,0,0,5,,,5,3,,2,1,0,14,0,0,0,87,100,30284,54044,6531,30700,23753,23344,301,2035,-9293,-8266,42,896,-8451,-5908,80,0,0,0,0,20,100,2,,2,,2,,2,,,,23900,0,0,100,0,0,0,100,0,3783,0,0,3783,4,,4,1,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,3,,,3,2,3,3,2,3,3,2,3,2,3,2,3,1,2,3,,2,35,1,2,,,,,,,,,1,5,,,,,,,4,3,,4,2,,,,10,4,,,,,9,4,,,,,2,,,1,10,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,4,3,2,,,,,,2,,20,40,,,,,20,40,,,,,,,,,4,2,3,2,2,3,3,3,3,3,3,2,2,3,2,4,5,,2,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3
10,법인,36.705,6,2,1,3,3,19,31,29172,1,2,경기,수원시 권선구,C29172,C,29,291,2000,3,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,3,3,1,,6,,5,,,,,,,,,1,1,,1,,,,,,,,,,,,3,7,2,,,,10,1,11,10,1,11,0,0,0,0,0,0,10,1,11,10,1,11,1,1,0,6,3,11,0,0,100,0,0,2,,,,,,,,,,2,,6,5,,2,3,0,59,40,0,0,1,100,2669,3676,2355,3096,314,580,2477,3269,165,277,87,38,100,154,0,0,0,0,90,10,100,2,,1,400,1,100,2,,500,,1250,0,0,0,40,10,50,100,0,1210,0,0,1210,4,,1,1,3,,,2,0,0,0,0,2,0,0,0,0,0,0,3,,,3,2,2,2,2,4,4,4,3,3,3,3,4,2,,3,,1,0,1,1,7,,,,,,,알제리,3,7,,,,,,캐나다,3,5,,1,2,9,4,,3,4,,,,,,,,,,,1,11,,1,4,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,2,,,,,,,2,,,,,,,,12,20,,,,,,,,,8,3,3,4,3,4,3,4,3,4,3,4,4,3,4,4,,,1,3,4,4,3,3,4,3,3,4,3,3,4,3,4,3
